,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,1338794,734111,604683,1126408,655346,471062,212386,78765,133621,579320,284231,295089,508727,260095,248632,70593,24136,46457,586910,332224,254686,478696,292761,185935,108214,39463,68751,172564,117656,54908,138985,102490,36495,33579,15166,18413
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12599,5180,7419,10620,4288,6332,1979,892,1087,8859,4200,4659,8330,3997,4333,529,203,326,2499,778,1721,1251,291,960,1248,487,761,1241,202,1039,1039,0,1039,202,202,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,10713,4727,5986,9336,4482,4854,1377,245,1132,3831,1710,2121,3289,1710,1579,542,0,542,6538,2694,3844,5703,2449,3254,835,245,590,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,8113,4285,3828,7186,4062,3124,927,223,704,6298,3307,2991,5623,3196,2427,675,111,564,1450,613,837,1198,501,697,252,112,140,365,365,0,365,365,0,0,0,0
4,Madison & Cortland Counties PUMA,244,152,92,244,152,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,995,440,555,573,440,133,422,0,422,744,348,396,481,348,133,263,0,263,159,0,159,0,0,0,159,0,159,92,92,0,92,92,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2281,1485,796,2117,1485,632,164,0,164,718,554,164,554,554,0,164,0,164,1290,728,562,1290,728,562,0,0,0,273,203,70,273,203,70,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,12396,5249,7147,10051,4994,5057,2345,255,2090,7367,3103,4264,5681,2848,2833,1686,255,1431,4640,1950,2690,3981,1950,2031,659,0,659,389,196,193,389,196,193,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1056,525,531,457,358,99,599,167,432,146,43,103,79,43,36,67,0,67,592,397,195,265,230,35,327,167,160,318,85,233,113,85,28,205,0,205
9,NYC-Manhattan Community District 8--Upper East Side PUMA,19218,8309,10909,17125,8042,9083,2093,267,1826,17471,7705,9766,15764,7438,8326,1707,267,1440,1483,340,1143,1097,340,757,386,0,386,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4396,1226,3170,3818,1065,2753,578,161,417,2419,557,1862,2062,557,1505,357,0,357,844,549,295,683,448,235,161,101,60,1133,120,1013,1073,60,1013,60,60,0
11,Erie County (Northwest) PUMA,1740,1256,484,1595,1111,484,145,145,0,734,250,484,734,250,484,0,0,0,889,889,0,744,744,0,145,145,0,117,117,0,117,117,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",29348,16052,13296,25971,14795,11176,3377,1257,2120,15170,6938,8232,13605,6461,7144,1565,477,1088,11768,7412,4356,10149,6825,3324,1619,587,1032,2410,1702,708,2217,1509,708,193,193,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14172,7872,6300,12241,7006,5235,1931,866,1065,2820,1801,1019,2764,1745,1019,56,56,0,9054,5273,3781,7827,4620,3207,1227,653,574,2298,798,1500,1650,641,1009,648,157,491
14,Rockland County (North)--New City & Congers PUMA,9039,5110,3929,7974,4432,3542,1065,678,387,3336,1485,1851,2858,1149,1709,478,336,142,4848,2954,1894,4491,2730,1761,357,224,133,855,671,184,625,553,72,230,118,112
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",581,371,210,570,360,210,11,11,0,326,151,175,326,151,175,0,0,0,127,120,7,127,120,7,0,0,0,128,100,28,117,89,28,11,11,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,14280,8795,5485,11170,7174,3996,3110,1621,1489,4686,2644,2042,4019,2331,1688,667,313,354,6011,3795,2216,4374,2899,1475,1637,896,741,3583,2356,1227,2777,1944,833,806,412,394
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,31967,17271,14696,26550,14799,11751,5417,2472,2945,12937,6109,6828,11503,5368,6135,1434,741,693,14995,8387,6608,11981,7254,4727,3014,1133,1881,4035,2775,1260,3066,2177,889,969,598,371
18,Tompkins County PUMA,3490,1507,1983,2762,1271,1491,728,236,492,2987,1368,1619,2339,1132,1207,648,236,412,444,128,316,364,128,236,80,0,80,59,11,48,59,11,48,0,0,0
19,Dutchess County (Southwest) PUMA,6929,3794,3135,5964,3203,2761,965,591,374,3574,1602,1972,3238,1470,1768,336,132,204,2490,1327,1163,2000,1007,993,490,320,170,865,865,0,726,726,0,139,139,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,22703,13309,9394,19321,12051,7270,3382,1258,2124,8896,4806,4090,7872,4473,3399,1024,333,691,11166,6556,4610,9441,5879,3562,1725,677,1048,2641,1947,694,2008,1699,309,633,248,385
21,Westchester County (Northwest) PUMA,12050,7955,4095,10090,7283,2807,1960,672,1288,4166,2130,2036,3936,1989,1947,230,141,89,5351,3588,1763,4063,3499,564,1288,89,1199,2533,2237,296,2091,1795,296,442,442,0
22,Albany County (Outside Albany City) PUMA,7433,3850,3583,6741,3640,3101,692,210,482,4548,2526,2022,4156,2316,1840,392,210,182,2438,1324,1114,2138,1324,814,300,0,300,447,0,447,447,0,447,0,0,0
23,Monroe County (South) PUMA,6238,3632,2606,5168,3067,2101,1070,565,505,4569,2464,2105,4286,2383,1903,283,81,202,696,327,369,525,327,198,171,0,171,973,841,132,357,357,0,616,484,132
24,Jefferson & Lewis Counties PUMA,2576,1214,1362,1694,1214,480,882,0,882,1639,944,695,1393,944,449,246,0,246,937,270,667,301,270,31,636,0,636,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",1015,406,609,839,358,481,176,48,128,203,0,203,154,0,154,49,0,49,771,365,406,644,317,327,127,48,79,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,2601,1813,788,2315,1665,650,286,148,138,655,390,265,655,390,265,0,0,0,1762,1423,339,1557,1275,282,205,148,57,184,0,184,103,0,103,81,0,81
27,St. Lawrence County PUMA,1055,694,361,806,694,112,249,0,249,148,148,0,148,148,0,0,0,0,907,546,361,658,546,112,249,0,249,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17833,9164,8669,16136,8687,7449,1697,477,1220,9452,4429,5023,8532,3990,4542,920,439,481,5229,2831,2398,4611,2793,1818,618,38,580,3152,1904,1248,2993,1904,1089,159,0,159
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4888,2822,2066,4100,2776,1324,788,46,742,3163,1838,1325,2624,1792,832,539,46,493,1318,577,741,1069,577,492,249,0,249,407,407,0,407,407,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,17777,8984,8793,13648,7534,6114,4129,1450,2679,8144,3892,4252,6216,3427,2789,1928,465,1463,7458,3689,3769,5567,3014,2553,1891,675,1216,2175,1403,772,1865,1093,772,310,310,0
31,Cayuga & Onondaga (South) Counties PUMA,974,737,237,974,737,237,0,0,0,608,371,237,608,371,237,0,0,0,366,366,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3455,1367,2088,2465,1003,1462,990,364,626,1140,582,558,951,582,369,189,0,189,2213,683,1530,1412,319,1093,801,364,437,102,102,0,102,102,0,0,0,0
33,Fulton & Montgomery Counties PUMA,386,43,343,357,43,314,29,0,29,205,0,205,205,0,205,0,0,0,181,43,138,152,43,109,29,0,29,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,3799,2393,1406,3035,1939,1096,764,454,310,1800,973,827,1599,900,699,201,73,128,1539,1018,521,1217,878,339,322,140,182,460,402,58,219,161,58,241,241,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,14404,7231,7173,12354,6458,5896,2050,773,1277,7675,3271,4404,6681,3145,3536,994,126,868,5765,3281,2484,4771,2634,2137,994,647,347,964,679,285,902,679,223,62,0,62
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,920,622,298,844,622,222,76,0,76,158,158,0,158,158,0,0,0,0,701,464,237,625,464,161,76,0,76,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,7134,4238,2896,5969,4069,1900,1165,169,996,1721,740,981,1375,740,635,346,0,346,3263,2064,1199,2444,1895,549,819,169,650,2150,1434,716,2150,1434,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12621,6209,6412,10321,5892,4429,2300,317,1983,2715,1483,1232,2715,1483,1232,0,0,0,6905,3597,3308,5640,3459,2181,1265,138,1127,3001,1129,1872,1966,950,1016,1035,179,856
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,26978,16309,10669,21835,13881,7954,5143,2428,2715,9248,5583,3665,7511,4629,2882,1737,954,783,14002,7732,6270,11524,6930,4594,2478,802,1676,3728,2994,734,2800,2322,478,928,672,256
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",6283,2330,3953,5775,2330,3445,508,0,508,5766,1939,3827,5258,1939,3319,508,0,508,517,391,126,517,391,126,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,3104,1734,1370,2953,1734,1219,151,0,151,2148,1129,1019,2083,1129,954,65,0,65,956,605,351,870,605,265,86,0,86,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9489,4287,5202,8335,4206,4129,1154,81,1073,2773,866,1907,2415,785,1630,358,81,277,6439,3288,3151,5643,3288,2355,796,0,796,277,133,144,277,133,144,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",38918,21265,17653,33302,19195,14107,5616,2070,3546,15474,7255,8219,13235,6420,6815,2239,835,1404,19632,11290,8342,16966,10312,6654,2666,978,1688,3812,2720,1092,3101,2463,638,711,257,454
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,35798,21491,14307,31187,20308,10879,4611,1183,3428,7875,3851,4024,7132,3775,3357,743,76,667,21138,12314,8824,18112,11491,6621,3026,823,2203,6785,5326,1459,5943,5042,901,842,284,558
45,Saratoga County (Outer) PUMA,1366,1077,289,1299,1010,289,67,67,0,1175,1010,165,1175,1010,165,0,0,0,124,0,124,124,0,124,0,0,0,67,67,0,0,0,0,67,67,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",10046,5883,4163,9010,5251,3759,1036,632,404,3195,1840,1355,2938,1840,1098,257,0,257,5295,3148,2147,4616,2616,2000,679,532,147,1556,895,661,1456,795,661,100,100,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",27636,15839,11797,23822,13562,10260,3814,2277,1537,15785,8499,7286,14149,7468,6681,1636,1031,605,10482,6226,4256,8503,5179,3324,1979,1047,932,1369,1114,255,1170,915,255,199,199,0
48,Wayne & Seneca Counties PUMA,678,214,464,561,214,347,117,0,117,375,117,258,258,117,141,117,0,117,303,97,206,303,97,206,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,5056,2849,2207,4129,2583,1546,927,266,661,3373,2022,1351,2498,1756,742,875,266,609,1438,827,611,1438,827,611,0,0,0,245,0,245,193,0,193,52,0,52
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,14641,7717,6924,12348,6934,5414,2293,783,1510,8342,4360,3982,7448,4061,3387,894,299,595,5569,3163,2406,4602,2768,1834,967,395,572,730,194,536,298,105,193,432,89,343
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,9357,4472,4885,7375,4117,3258,1982,355,1627,5746,2787,2959,4667,2630,2037,1079,157,922,3146,1685,1461,2306,1487,819,840,198,642,465,0,465,402,0,402,63,0,63
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,10492,6574,3918,8271,5199,3072,2221,1375,846,2466,828,1638,1891,769,1122,575,59,516,5933,4297,1636,5026,3600,1426,907,697,210,2093,1449,644,1354,830,524,739,619,120
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",12872,8436,4436,11226,7893,3333,1646,543,1103,9009,6426,2583,8214,6097,2117,795,329,466,3712,1859,1853,2952,1736,1216,760,123,637,151,151,0,60,60,0,91,91,0
54,Columbia & Greene Counties PUMA,876,504,372,543,443,100,333,61,272,311,172,139,111,111,0,200,61,139,468,284,184,335,284,51,133,0,133,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,1600,965,635,1314,871,443,286,94,192,1227,689,538,941,595,346,286,94,192,337,240,97,337,240,97,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,4291,2497,1794,3414,1975,1439,877,522,355,2038,1116,922,1650,978,672,388,138,250,1249,1010,239,844,710,134,405,300,105,1004,371,633,920,287,633,84,84,0
57,Erie County (South) PUMA,1519,468,1051,1281,302,979,238,166,72,1153,302,851,1153,302,851,0,0,0,366,166,200,128,0,128,238,166,72,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4353,1979,2374,2888,1535,1353,1465,444,1021,1835,715,1120,1484,683,801,351,32,319,1824,615,1209,921,414,507,903,201,702,694,649,45,483,438,45,211,211,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28000,15670,12330,23354,13892,9462,4646,1778,2868,6340,3261,3079,4647,2573,2074,1693,688,1005,16659,8856,7803,14167,7766,6401,2492,1090,1402,5001,3553,1448,4540,3553,987,461,0,461
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,18868,9011,9857,15830,7907,7923,3038,1104,1934,11110,5114,5996,9747,4564,5183,1363,550,813,6350,3041,3309,5109,2744,2365,1241,297,944,1408,856,552,974,599,375,434,257,177
61,NYC-Manhattan Community District 10--Central Harlem PUMA,12775,7375,5400,9524,6082,3442,3251,1293,1958,5441,2897,2544,4385,2192,2193,1056,705,351,4766,2808,1958,3033,2220,813,1733,588,1145,2568,1670,898,2106,1670,436,462,0,462
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,15673,8580,7093,12525,7632,4893,3148,948,2200,7136,3455,3681,6194,3168,3026,942,287,655,6851,4076,2775,4996,3415,1581,1855,661,1194,1686,1049,637,1335,1049,286,351,0,351
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4658,1732,2926,4038,1556,2482,620,176,444,1214,326,888,1157,269,888,57,57,0,2164,753,1411,1928,634,1294,236,119,117,1280,653,627,953,653,300,327,0,327
64,Albany County (East Central)--Albany City PUMA,5457,2423,3034,4878,2173,2705,579,250,329,2069,1138,931,1737,1008,729,332,130,202,2114,998,1116,1867,878,989,247,120,127,1274,287,987,1274,287,987,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,7568,4695,2873,6543,4304,2239,1025,391,634,2395,1142,1253,2273,1056,1217,122,86,36,3774,2309,1465,2934,2004,930,840,305,535,1399,1244,155,1336,1244,92,63,0,63
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1298,981,317,1209,981,228,89,0,89,1021,809,212,932,809,123,89,0,89,277,172,105,277,172,105,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13035,6681,6354,10875,6031,4844,2160,650,1510,3370,1252,2118,3334,1252,2082,36,0,36,7667,4327,3340,6197,3677,2520,1470,650,820,1998,1102,896,1344,1102,242,654,0,654
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14956,7690,7266,11738,6414,5324,3218,1276,1942,2411,1007,1404,2020,794,1226,391,213,178,9525,5119,4406,7431,4196,3235,2094,923,1171,3020,1564,1456,2287,1424,863,733,140,593
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",13332,6364,6968,10673,6091,4582,2659,273,2386,6737,3341,3396,5923,3068,2855,814,273,541,5055,2326,2729,3893,2326,1567,1162,0,1162,1540,697,843,857,697,160,683,0,683
70,Erie County (Northeast) PUMA,1808,1291,517,1556,1119,437,252,172,80,1300,980,320,1048,808,240,252,172,80,508,311,197,508,311,197,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,6837,3565,3272,5115,3047,2068,1722,518,1204,2809,1045,1764,2611,1045,1566,198,0,198,2530,1248,1282,1678,1176,502,852,72,780,1498,1272,226,826,826,0,672,446,226
72,Orange County (Southeast) PUMA,4045,2319,1726,3194,1693,1501,851,626,225,2187,874,1313,2068,874,1194,119,0,119,1682,1269,413,1126,819,307,556,450,106,176,176,0,0,0,0,176,176,0
73,Westchester County (Southeast) PUMA,13811,9081,4730,12030,8059,3971,1781,1022,759,5770,3165,2605,5129,2922,2207,641,243,398,4100,2628,1472,3391,1919,1472,709,709,0,3941,3288,653,3510,3218,292,431,70,361
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,29542,16578,12964,25327,15076,10251,4215,1502,2713,14189,7563,6626,12470,6662,5808,1719,901,818,11859,6572,5287,10084,6029,4055,1775,543,1232,3494,2443,1051,2773,2385,388,721,58,663
75,Livingston & Wyoming Counties PUMA,673,575,98,673,575,98,0,0,0,428,376,52,428,376,52,0,0,0,67,31,36,67,31,36,0,0,0,178,168,10,178,168,10,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4908,2640,2268,4167,2513,1654,741,127,614,1660,672,988,1534,622,912,126,50,76,2436,1427,1009,1898,1427,471,538,0,538,812,541,271,735,464,271,77,77,0
