,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,1339411,737175,602236,1275495,708360,567135,63916,28815,35101,578569,286688,291881,549901,274756,275145,28668,11932,16736,589436,333155,256281,561605,320031,241574,27831,13124,14707,171406,117332,54074,163989,113573,50416,7417,3759,3658
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12599,5180,7419,12296,5022,7274,303,158,145,8859,4200,4659,8556,4042,4514,303,158,145,2499,778,1721,2499,778,1721,0,0,0,1241,202,1039,1241,202,1039,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11010,4874,6136,10225,4414,5811,785,460,325,3913,1642,2271,3763,1642,2121,150,0,150,6753,2909,3844,6118,2449,3669,635,460,175,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7943,4115,3828,7590,4057,3533,353,58,295,6128,3137,2991,5775,3079,2696,353,58,295,1450,613,837,1450,613,837,0,0,0,365,365,0,365,365,0,0,0,0
4,Madison & Cortland Counties PUMA,244,152,92,244,152,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,898,348,550,837,348,489,61,0,61,678,348,330,678,348,330,0,0,0,220,0,220,159,0,159,61,0,61,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2324,1485,839,2281,1485,796,43,0,43,718,554,164,718,554,164,0,0,0,1290,728,562,1290,728,562,0,0,0,316,203,113,273,203,70,43,0,43
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,11726,5249,6477,11554,5249,6305,172,0,172,6576,3103,3473,6576,3103,3473,0,0,0,4761,1950,2811,4589,1950,2639,172,0,172,389,196,193,389,196,193,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",903,358,545,889,358,531,14,0,14,146,43,103,146,43,103,0,0,0,439,230,209,425,230,195,14,0,14,318,85,233,318,85,233,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,19457,8604,10853,18422,8214,10208,1035,390,645,17610,8000,9610,16907,7610,9297,703,390,313,1583,340,1243,1251,340,911,332,0,332,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4862,1835,3027,4227,1200,3027,635,635,0,2938,1166,1772,2329,557,1772,609,609,0,791,549,242,765,523,242,26,26,0,1133,120,1013,1133,120,1013,0,0,0
11,Erie County (Northwest) PUMA,1885,1401,484,1740,1256,484,145,145,0,879,395,484,734,250,484,145,145,0,889,889,0,889,889,0,0,0,0,117,117,0,117,117,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",29190,16105,13085,27383,16008,11375,1807,97,1710,14787,6991,7796,14250,6894,7356,537,97,440,11993,7412,4581,10723,7412,3311,1270,0,1270,2410,1702,708,2410,1702,708,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14419,7872,6547,13618,7407,6211,801,465,336,2865,1801,1064,2820,1801,1019,45,0,45,9285,5273,4012,8640,4919,3721,645,354,291,2269,798,1471,2158,687,1471,111,111,0
14,Rockland County (North)--New City & Congers PUMA,9184,5110,4074,8590,4776,3814,594,334,260,3532,1485,2047,3336,1485,1851,196,0,196,4848,2954,1894,4450,2620,1830,398,334,64,804,671,133,804,671,133,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",581,371,210,581,371,210,0,0,0,326,151,175,326,151,175,0,0,0,127,120,7,127,120,7,0,0,0,128,100,28,128,100,28,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13746,8340,5406,13112,8025,5087,634,315,319,4903,2681,2222,4529,2557,1972,374,124,250,5408,3303,2105,5270,3234,2036,138,69,69,3435,2356,1079,3313,2234,1079,122,122,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,32513,17466,15047,30605,16564,14041,1908,902,1006,13364,6221,7143,12458,6044,6414,906,177,729,15114,8470,6644,14112,7745,6367,1002,725,277,4035,2775,1260,4035,2775,1260,0,0,0
18,Tompkins County PUMA,2819,1282,1537,2819,1282,1537,0,0,0,2316,1143,1173,2316,1143,1173,0,0,0,444,128,316,444,128,316,0,0,0,59,11,48,59,11,48,0,0,0
19,Dutchess County (Southwest) PUMA,6970,3602,3368,6103,3405,2698,867,197,670,3266,1549,1717,2951,1352,1599,315,197,118,2978,1327,1651,2426,1327,1099,552,0,552,726,726,0,726,726,0,0,0,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,22792,13609,9183,21590,13096,8494,1202,513,689,8833,4934,3899,8315,4754,3561,518,180,338,11251,6661,4590,10768,6395,4373,483,266,217,2708,2014,694,2507,1947,560,201,67,134
21,Westchester County (Northwest) PUMA,11911,7906,4005,11482,7701,3781,429,205,224,4390,2130,2260,3961,1925,2036,429,205,224,4988,3539,1449,4988,3539,1449,0,0,0,2533,2237,296,2533,2237,296,0,0,0
22,Albany County (Outside Albany City) PUMA,7314,3731,3583,7291,3731,3560,23,0,23,4548,2526,2022,4548,2526,2022,0,0,0,2319,1205,1114,2296,1205,1091,23,0,23,447,0,447,447,0,447,0,0,0
23,Monroe County (South) PUMA,6156,3609,2547,5957,3537,2420,199,72,127,4582,2536,2046,4383,2464,1919,199,72,127,696,327,369,696,327,369,0,0,0,878,746,132,878,746,132,0,0,0
24,Jefferson & Lewis Counties PUMA,2218,1235,983,2111,1128,983,107,107,0,1564,965,599,1543,944,599,21,21,0,654,270,384,568,184,384,86,86,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",1036,427,609,967,358,609,69,69,0,272,69,203,203,0,203,69,69,0,723,317,406,723,317,406,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,2740,1813,927,2103,1315,788,637,498,139,794,390,404,655,390,265,139,0,139,1762,1423,339,1264,925,339,498,498,0,184,0,184,184,0,184,0,0,0
27,St. Lawrence County PUMA,1055,694,361,1055,694,361,0,0,0,148,148,0,148,148,0,0,0,0,907,546,361,907,546,361,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17469,8972,8497,17042,8816,8226,427,156,271,9088,4237,4851,8817,4237,4580,271,0,271,5229,2831,2398,5073,2675,2398,156,156,0,3152,1904,1248,3152,1904,1248,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,5048,2866,2182,4799,2822,1977,249,44,205,3074,1838,1236,3074,1838,1236,0,0,0,1567,621,946,1318,577,741,249,44,205,407,407,0,407,407,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,17071,8984,8087,16701,8963,7738,370,21,349,7923,3892,4031,7694,3881,3813,229,11,218,7241,3689,3552,7100,3679,3421,141,10,131,1907,1403,504,1907,1403,504,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,974,737,237,974,737,237,0,0,0,608,371,237,608,371,237,0,0,0,366,366,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3381,1367,2014,3096,1367,1729,285,0,285,1140,582,558,1017,582,435,123,0,123,2139,683,1456,1977,683,1294,162,0,162,102,102,0,102,102,0,0,0,0
33,Fulton & Montgomery Counties PUMA,386,43,343,386,43,343,0,0,0,205,0,205,205,0,205,0,0,0,181,43,138,181,43,138,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,4074,2548,1526,3799,2393,1406,275,155,120,1955,1128,827,1800,973,827,155,155,0,1659,1018,641,1539,1018,521,120,0,120,460,402,58,460,402,58,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,14254,7403,6851,13841,7231,6610,413,172,241,7603,3331,4272,7302,3271,4031,301,60,241,5749,3393,2356,5637,3281,2356,112,112,0,902,679,223,902,679,223,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,920,622,298,920,622,298,0,0,0,158,158,0,158,158,0,0,0,0,701,464,237,701,464,237,0,0,0,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,7672,4444,3228,6869,4238,2631,803,206,597,1456,740,716,1456,740,716,0,0,0,4066,2270,1796,3263,2064,1199,803,206,597,2150,1434,716,2150,1434,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12107,6244,5863,11122,5398,5724,985,846,139,2636,1698,938,2421,1483,938,215,215,0,6864,3417,3447,6725,3417,3308,139,0,139,2607,1129,1478,1976,498,1478,631,631,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,27252,16399,10853,26535,15976,10559,717,423,294,9459,5673,3786,9008,5405,3603,451,268,183,14065,7732,6333,13799,7577,6222,266,155,111,3728,2994,734,3728,2994,734,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5830,2078,3752,5498,2078,3420,332,0,332,5313,1687,3626,4981,1687,3294,332,0,332,517,391,126,517,391,126,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,3355,1804,1551,3104,1734,1370,251,70,181,2329,1129,1200,2148,1129,1019,181,0,181,956,605,351,956,605,351,0,0,0,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9084,4164,4920,8969,4105,4864,115,59,56,2518,734,1784,2518,734,1784,0,0,0,6224,3288,2936,6224,3288,2936,0,0,0,342,142,200,227,83,144,115,59,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",39209,21412,17797,37644,20690,16954,1565,722,843,15425,7165,8260,14792,6864,7928,633,301,332,19923,11527,8396,19104,11106,7998,819,421,398,3861,2720,1141,3748,2720,1028,113,0,113
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,35648,21416,14232,34603,21190,13413,1045,226,819,7875,3851,4024,7737,3713,4024,138,138,0,20927,12314,8613,20244,12314,7930,683,0,683,6846,5251,1595,6622,5163,1459,224,88,136
45,Saratoga County (Outer) PUMA,1366,1077,289,1299,1010,289,67,67,0,1175,1010,165,1175,1010,165,0,0,0,124,0,124,124,0,124,0,0,0,67,67,0,0,0,0,67,67,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",9663,5883,3780,9437,5883,3554,226,0,226,3144,1840,1304,3028,1840,1188,116,0,116,4963,3148,1815,4963,3148,1815,0,0,0,1556,895,661,1446,895,551,110,0,110
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",27730,15632,12098,26648,15305,11343,1082,327,755,15778,8499,7279,15600,8457,7143,178,42,136,10465,6097,4368,9757,5812,3945,708,285,423,1487,1036,451,1291,1036,255,196,0,196
48,Wayne & Seneca Counties PUMA,678,214,464,678,214,464,0,0,0,375,117,258,375,117,258,0,0,0,303,97,206,303,97,206,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,5278,2849,2429,4934,2849,2085,344,0,344,3595,2022,1573,3251,2022,1229,344,0,344,1438,827,611,1438,827,611,0,0,0,245,0,245,245,0,245,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,15545,8222,7323,14095,7535,6560,1450,687,763,8631,4677,3954,7978,4360,3618,653,317,336,5816,3278,2538,5387,2981,2406,429,297,132,1098,267,831,730,194,536,368,73,295
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,9454,4469,4985,8801,4279,4522,653,190,463,5688,2673,3015,5348,2673,2675,340,0,340,3301,1796,1505,2988,1606,1382,313,190,123,465,0,465,465,0,465,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,10991,6835,4156,10212,6574,3638,779,261,518,2697,1089,1608,2360,828,1532,337,261,76,6162,4297,1865,5879,4297,1582,283,0,283,2132,1449,683,1973,1449,524,159,0,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",12482,8031,4451,12047,7941,4106,435,90,345,8382,6021,2361,8184,5931,2253,198,90,108,3811,1859,1952,3712,1859,1853,99,0,99,289,151,138,151,151,0,138,0,138
54,Columbia & Greene Counties PUMA,884,567,317,821,504,317,63,63,0,311,172,139,311,172,139,0,0,0,476,347,129,413,284,129,63,63,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,1498,965,533,1475,942,533,23,23,0,1125,689,436,1102,666,436,23,23,0,337,240,97,337,240,97,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,4034,2419,1615,3525,2113,1412,509,306,203,1861,1118,743,1403,812,591,458,306,152,1169,930,239,1118,930,188,51,0,51,1004,371,633,1004,371,633,0,0,0
57,Erie County (South) PUMA,1353,302,1051,1353,302,1051,0,0,0,1153,302,851,1153,302,851,0,0,0,200,0,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4142,1979,2163,4142,1979,2163,0,0,0,1835,715,1120,1835,715,1120,0,0,0,1658,615,1043,1658,615,1043,0,0,0,649,649,0,649,649,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",27066,15157,11909,25629,14452,11177,1437,705,732,6443,3551,2892,6153,3261,2892,290,290,0,16191,8322,7869,15400,8263,7137,791,59,732,4432,3284,1148,4076,2928,1148,356,356,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,19281,9284,9997,17265,8374,8891,2016,910,1106,11284,5296,5988,10151,5053,5098,1133,243,890,6445,2988,3457,5706,2465,3241,739,523,216,1552,1000,552,1408,856,552,144,144,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,12692,7375,5317,12208,7375,4833,484,0,484,5358,2897,2461,5226,2897,2329,132,0,132,4766,2808,1958,4766,2808,1958,0,0,0,2568,1670,898,2216,1670,546,352,0,352
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,15769,8688,7081,15623,8580,7043,146,108,38,7282,3563,3719,7136,3455,3681,146,108,38,6801,4076,2725,6801,4076,2725,0,0,0,1686,1049,637,1686,1049,637,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5128,2157,2971,4536,1732,2804,592,425,167,1684,751,933,1152,326,826,532,425,107,2164,753,1411,2164,753,1411,0,0,0,1280,653,627,1220,653,567,60,0,60
64,Albany County (East Central)--Albany City PUMA,5435,2303,3132,5337,2303,3034,98,0,98,2167,1138,1029,2069,1138,931,98,0,98,1994,878,1116,1994,878,1116,0,0,0,1274,287,987,1274,287,987,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,7343,4544,2799,7071,4272,2799,272,272,0,2490,1237,1253,2395,1142,1253,95,95,0,3454,2063,1391,3277,1886,1391,177,177,0,1399,1244,155,1399,1244,155,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1343,981,362,1209,981,228,134,0,134,1066,809,257,932,809,123,134,0,134,277,172,105,277,172,105,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13182,6681,6501,12818,6551,6267,364,130,234,3456,1252,2204,3308,1190,2118,148,62,86,7728,4327,3401,7599,4259,3340,129,68,61,1998,1102,896,1911,1102,809,87,0,87
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14909,7898,7011,14640,7690,6950,269,208,61,2411,1007,1404,2411,1007,1404,0,0,0,9478,5327,4151,9270,5119,4151,208,208,0,3020,1564,1456,2959,1564,1395,61,0,61
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",13147,6364,6783,12661,6019,6642,486,345,141,6661,3341,3320,6316,2996,3320,345,345,0,4946,2326,2620,4805,2326,2479,141,0,141,1540,697,843,1540,697,843,0,0,0
70,Erie County (Northeast) PUMA,1808,1291,517,1734,1217,517,74,74,0,1300,980,320,1226,906,320,74,74,0,508,311,197,508,311,197,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,6656,3647,3009,6149,3484,2665,507,163,344,2628,1127,1501,2377,964,1413,251,163,88,2530,1248,1282,2274,1248,1026,256,0,256,1498,1272,226,1498,1272,226,0,0,0
72,Orange County (Southeast) PUMA,4174,2319,1855,3967,2319,1648,207,0,207,2187,874,1313,2109,874,1235,78,0,78,1811,1269,542,1682,1269,413,129,0,129,176,176,0,176,176,0,0,0,0
73,Westchester County (Southeast) PUMA,13930,8984,4946,12762,8391,4371,1168,593,575,5754,3068,2686,4921,2675,2246,833,393,440,4235,2628,1607,3900,2428,1472,335,200,135,3941,3288,653,3941,3288,653,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,29785,16904,12881,27860,15804,12056,1925,1100,825,14069,7507,6562,13210,7189,6021,859,318,541,12364,6948,5416,11360,6228,5132,1004,720,284,3352,2449,903,3290,2387,903,62,62,0
75,Livingston & Wyoming Counties PUMA,673,575,98,605,507,98,68,68,0,428,376,52,360,308,52,68,68,0,67,31,36,67,31,36,0,0,0,178,168,10,178,168,10,0,0,0
