,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1124489,653701,470788,976899,559971,416928,147590,93730,53860,507731,259373,248358,478896,245089,233807,28835,14284,14551,478168,292233,185935,397168,239423,157745,81000,52810,28190,138590,102095,36495,100835,75459,25376,37755,26636,11119
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,10620,4288,6332,10223,4181,6042,397,107,290,8330,3997,4333,8223,3890,4333,107,107,0,1251,291,960,1251,291,960,0,0,0,1039,0,1039,749,0,749,290,0,290
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,9336,4482,4854,8756,3980,4776,580,502,78,3289,1710,1579,3285,1710,1575,4,0,4,5703,2449,3254,5127,1947,3180,576,502,74,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7186,4062,3124,6559,3783,2776,627,279,348,5623,3196,2427,5485,3196,2289,138,0,138,1198,501,697,988,501,487,210,0,210,365,365,0,86,86,0,279,279,0
4,Madison & Cortland Counties PUMA,244,152,92,244,152,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,481,348,133,481,348,133,0,0,0,481,348,133,481,348,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2117,1485,632,1740,1271,469,377,214,163,554,554,0,554,554,0,0,0,0,1290,728,562,979,580,399,311,148,163,273,203,70,207,137,70,66,66,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10051,4994,5057,9978,4921,5057,73,73,0,5681,2848,2833,5681,2848,2833,0,0,0,3981,1950,2031,3981,1950,2031,0,0,0,389,196,193,316,123,193,73,73,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",457,358,99,429,358,71,28,0,28,79,43,36,79,43,36,0,0,0,265,230,35,265,230,35,0,0,0,113,85,28,85,85,0,28,0,28
9,NYC-Manhattan Community District 8--Upper East Side PUMA,17125,8042,9083,16971,8042,8929,154,0,154,15764,7438,8326,15610,7438,8172,154,0,154,1097,340,757,1097,340,757,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3818,1065,2753,3745,992,2753,73,73,0,2062,557,1505,2062,557,1505,0,0,0,683,448,235,657,422,235,26,26,0,1073,60,1013,1026,13,1013,47,47,0
11,Erie County (Northwest) PUMA,1595,1111,484,1476,994,482,119,117,2,734,250,484,732,250,482,2,0,2,744,744,0,744,744,0,0,0,0,117,117,0,0,0,0,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",25971,14795,11176,24588,13714,10874,1383,1081,302,13605,6461,7144,12959,5996,6963,646,465,181,10149,6825,3324,9412,6209,3203,737,616,121,2217,1509,708,2217,1509,708,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12241,7006,5235,9326,5603,3723,2915,1403,1512,2764,1745,1019,2175,1346,829,589,399,190,7827,4620,3207,6388,3924,2464,1439,696,743,1650,641,1009,763,333,430,887,308,579
14,Rockland County (North)--New City & Congers PUMA,7974,4432,3542,7735,4354,3381,239,78,161,2858,1149,1709,2858,1149,1709,0,0,0,4491,2730,1761,4330,2730,1600,161,0,161,625,553,72,547,475,72,78,78,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",570,360,210,285,176,109,285,184,101,326,151,175,184,103,81,142,48,94,127,120,7,14,14,0,113,106,7,117,89,28,87,59,28,30,30,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10927,6931,3996,7945,4813,3132,2982,2118,864,4019,2331,1688,3454,1919,1535,565,412,153,4131,2656,1475,2993,1826,1167,1138,830,308,2777,1944,833,1498,1068,430,1279,876,403
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,26550,14799,11751,22514,12288,10226,4036,2511,1525,11503,5368,6135,10774,5166,5608,729,202,527,11981,7254,4727,9614,5652,3962,2367,1602,765,3066,2177,889,2126,1470,656,940,707,233
18,Tompkins County PUMA,2762,1271,1491,2687,1244,1443,75,27,48,2339,1132,1207,2312,1105,1207,27,27,0,364,128,236,364,128,236,0,0,0,59,11,48,11,11,0,48,0,48
19,Dutchess County (Southwest) PUMA,5911,3150,2761,4833,2522,2311,1078,628,450,3185,1417,1768,2770,1254,1516,415,163,252,2000,1007,993,1445,650,795,555,357,198,726,726,0,618,618,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,19321,12051,7270,16619,10329,6290,2702,1722,980,7872,4473,3399,7018,4001,3017,854,472,382,9441,5879,3562,7946,4934,3012,1495,945,550,2008,1699,309,1655,1394,261,353,305,48
21,Westchester County (Northwest) PUMA,10041,7234,2807,7708,5334,2374,2333,1900,433,3936,1989,1947,3633,1686,1947,303,303,0,4014,3450,564,2578,2233,345,1436,1217,219,2091,1795,296,1497,1415,82,594,380,214
22,Albany County (Outside Albany City) PUMA,6741,3640,3101,6351,3420,2931,390,220,170,4156,2316,1840,4156,2316,1840,0,0,0,2138,1324,814,1918,1104,814,220,220,0,447,0,447,277,0,277,170,0,170
23,Monroe County (South) PUMA,5034,2933,2101,5034,2933,2101,0,0,0,4152,2249,1903,4152,2249,1903,0,0,0,525,327,198,525,327,198,0,0,0,357,357,0,357,357,0,0,0,0
24,Jefferson & Lewis Counties PUMA,1694,1214,480,1694,1214,480,0,0,0,1393,944,449,1393,944,449,0,0,0,301,270,31,301,270,31,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",839,358,481,839,358,481,0,0,0,154,0,154,154,0,154,0,0,0,644,317,327,644,317,327,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,2315,1665,650,1967,1317,650,348,348,0,655,390,265,655,390,265,0,0,0,1557,1275,282,1209,927,282,348,348,0,103,0,103,103,0,103,0,0,0
27,St. Lawrence County PUMA,806,694,112,806,694,112,0,0,0,148,148,0,148,148,0,0,0,0,658,546,112,658,546,112,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16000,8687,7313,13693,7591,6102,2307,1096,1211,8396,3990,4406,7772,3752,4020,624,238,386,4611,2793,1818,4213,2637,1576,398,156,242,2993,1904,1089,1708,1202,506,1285,702,583
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3781,2457,1324,3724,2400,1324,57,57,0,2456,1624,832,2456,1624,832,0,0,0,918,426,492,918,426,492,0,0,0,407,407,0,350,350,0,57,57,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,13648,7534,6114,12649,6682,5967,999,852,147,6216,3427,2789,6058,3416,2642,158,11,147,5567,3014,2553,4873,2320,2553,694,694,0,1865,1093,772,1718,946,772,147,147,0
31,Cayuga & Onondaga (South) Counties PUMA,974,737,237,752,515,237,222,222,0,608,371,237,608,371,237,0,0,0,366,366,0,144,144,0,222,222,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2465,1003,1462,2465,1003,1462,0,0,0,951,582,369,951,582,369,0,0,0,1412,319,1093,1412,319,1093,0,0,0,102,102,0,102,102,0,0,0,0
33,Fulton & Montgomery Counties PUMA,357,43,314,152,43,109,205,0,205,205,0,205,0,0,0,205,0,205,152,43,109,152,43,109,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,3035,1939,1096,2911,1939,972,124,0,124,1599,900,699,1599,900,699,0,0,0,1217,878,339,1151,878,273,66,0,66,219,161,58,161,161,0,58,0,58
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,12354,6458,5896,11092,5271,5821,1262,1187,75,6681,3145,3536,6533,3072,3461,148,73,75,4771,2634,2137,3657,1520,2137,1114,1114,0,902,679,223,902,679,223,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,844,622,222,402,264,138,442,358,84,158,158,0,158,158,0,0,0,0,625,464,161,183,106,77,442,358,84,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5969,4069,1900,5969,4069,1900,0,0,0,1375,740,635,1375,740,635,0,0,0,2444,1895,549,2444,1895,549,0,0,0,2150,1434,716,2150,1434,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",10321,5892,4429,7803,4983,2820,2518,909,1609,2715,1483,1232,2469,1237,1232,246,246,0,5640,3459,2181,4641,3053,1588,999,406,593,1966,950,1016,693,693,0,1273,257,1016
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,21835,13881,7954,17822,10757,7065,4013,3124,889,7511,4629,2882,6811,4086,2725,700,543,157,11524,6930,4594,9551,5542,4009,1973,1388,585,2800,2322,478,1460,1129,331,1340,1193,147
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5775,2330,3445,5322,2121,3201,453,209,244,5258,1939,3319,5014,1939,3075,244,0,244,517,391,126,308,182,126,209,209,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,2953,1734,1219,2704,1485,1219,249,249,0,2083,1129,954,2083,1129,954,0,0,0,870,605,265,621,356,265,249,249,0,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",8335,4206,4129,7365,3483,3882,970,723,247,2415,785,1630,2255,625,1630,160,160,0,5643,3288,2355,4916,2808,2108,727,480,247,277,133,144,194,50,144,83,83,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",33302,19195,14107,28432,15809,12623,4870,3386,1484,13235,6420,6815,12174,5985,6189,1061,435,626,16966,10312,6654,13755,7959,5796,3211,2353,858,3101,2463,638,2503,1865,638,598,598,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,31187,20308,10879,23935,15296,8639,7252,5012,2240,7132,3775,3357,6535,3658,2877,597,117,480,18112,11491,6621,13119,8046,5073,4993,3445,1548,5943,5042,901,4281,3592,689,1662,1450,212
45,Saratoga County (Outer) PUMA,1299,1010,289,1299,1010,289,0,0,0,1175,1010,165,1175,1010,165,0,0,0,124,0,124,124,0,124,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",9010,5251,3759,7078,4327,2751,1932,924,1008,2938,1840,1098,2423,1325,1098,515,515,0,4616,2616,2000,3504,2316,1188,1112,300,812,1456,795,661,1151,686,465,305,109,196
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",23822,13562,10260,21949,12371,9578,1873,1191,682,14149,7468,6681,13906,7338,6568,243,130,113,8503,5179,3324,7025,4270,2755,1478,909,569,1170,915,255,1018,763,255,152,152,0
48,Wayne & Seneca Counties PUMA,561,214,347,561,214,347,0,0,0,258,117,141,258,117,141,0,0,0,303,97,206,303,97,206,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,4129,2583,1546,3865,2319,1546,264,264,0,2498,1756,742,2349,1607,742,149,149,0,1438,827,611,1323,712,611,115,115,0,193,0,193,193,0,193,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,12348,6934,5414,10592,5869,4723,1756,1065,691,7448,4061,3387,7074,3886,3188,374,175,199,4602,2768,1834,3273,1931,1342,1329,837,492,298,105,193,245,52,193,53,53,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7375,4117,3258,7081,3956,3125,294,161,133,4667,2630,2037,4373,2469,1904,294,161,133,2306,1487,819,2306,1487,819,0,0,0,402,0,402,402,0,402,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8186,5114,3072,7587,4765,2822,599,349,250,1891,769,1122,1800,769,1031,91,0,91,4941,3515,1426,4756,3330,1426,185,185,0,1354,830,524,1031,666,365,323,164,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",11226,7893,3333,11226,7893,3333,0,0,0,8214,6097,2117,8214,6097,2117,0,0,0,2952,1736,1216,2952,1736,1216,0,0,0,60,60,0,60,60,0,0,0,0
54,Columbia & Greene Counties PUMA,543,443,100,506,406,100,37,37,0,111,111,0,111,111,0,0,0,0,335,284,51,298,247,51,37,37,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,1314,871,443,1084,697,387,230,174,56,941,595,346,862,572,290,79,23,56,337,240,97,186,89,97,151,151,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,3414,1975,1439,2525,1628,897,889,347,542,1650,978,672,1331,843,488,319,135,184,844,710,134,747,613,134,97,97,0,920,287,633,447,172,275,473,115,358
57,Erie County (South) PUMA,1281,302,979,1281,302,979,0,0,0,1153,302,851,1153,302,851,0,0,0,128,0,128,128,0,128,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2888,1535,1353,2570,1367,1203,318,168,150,1484,683,801,1411,610,801,73,73,0,921,414,507,676,319,357,245,95,150,483,438,45,483,438,45,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",23272,13892,9380,18553,11180,7373,4719,2712,2007,4565,2573,1992,3398,1879,1519,1167,694,473,14167,7766,6401,11559,6391,5168,2608,1375,1233,4540,3553,987,3596,2910,686,944,643,301
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,15830,7907,7923,13464,6752,6712,2366,1155,1211,9747,4564,5183,9043,4564,4479,704,0,704,5109,2744,2365,3848,1839,2009,1261,905,356,974,599,375,573,349,224,401,250,151
61,NYC-Manhattan Community District 10--Central Harlem PUMA,9524,6082,3442,8076,5566,2510,1448,516,932,4385,2192,2193,4051,2043,2008,334,149,185,3033,2220,813,2271,1853,418,762,367,395,2106,1670,436,1754,1670,84,352,0,352
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,12525,7632,4893,11939,7175,4764,586,457,129,6194,3168,3026,6084,3105,2979,110,63,47,4996,3415,1581,4811,3312,1499,185,103,82,1335,1049,286,1044,758,286,291,291,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4038,1556,2482,2340,948,1392,1698,608,1090,1157,269,888,802,183,619,355,86,269,1928,634,1294,852,379,473,1076,255,821,953,653,300,686,386,300,267,267,0
64,Albany County (East Central)--Albany City PUMA,4878,2173,2705,4145,1711,2434,733,462,271,1737,1008,729,1370,868,502,367,140,227,1867,878,989,1545,556,989,322,322,0,1274,287,987,1230,287,943,44,0,44
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,6543,4304,2239,6193,4012,2181,350,292,58,2273,1056,1217,2198,981,1217,75,75,0,2934,2004,930,2876,2004,872,58,0,58,1336,1244,92,1119,1027,92,217,217,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1209,981,228,1209,981,228,0,0,0,932,809,123,932,809,123,0,0,0,277,172,105,277,172,105,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10875,6031,4844,8350,4161,4189,2525,1870,655,3334,1252,2082,3192,1252,1940,142,0,142,6197,3677,2520,4403,2396,2007,1794,1281,513,1344,1102,242,755,513,242,589,589,0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11738,6414,5324,8526,4846,3680,3212,1568,1644,2020,794,1226,1524,794,730,496,0,496,7431,4196,3235,5566,3113,2453,1865,1083,782,2287,1424,863,1436,939,497,851,485,366
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",10673,6091,4582,9657,5290,4367,1016,801,215,5923,3068,2855,5688,2964,2724,235,104,131,3893,2326,1567,3579,2096,1483,314,230,84,857,697,160,390,230,160,467,467,0
70,Erie County (Northeast) PUMA,1556,1119,437,1556,1119,437,0,0,0,1048,808,240,1048,808,240,0,0,0,508,311,197,508,311,197,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,5115,3047,2068,4102,2210,1892,1013,837,176,2611,1045,1566,2435,1045,1390,176,0,176,1678,1176,502,922,420,502,756,756,0,826,826,0,745,745,0,81,81,0
72,Orange County (Southeast) PUMA,3194,1693,1501,2772,1618,1154,422,75,347,2068,874,1194,1721,874,847,347,0,347,1126,819,307,1051,744,307,75,75,0,0,0,0,0,0,0,0,0,0
73,Westchester County (Southeast) PUMA,12030,8059,3971,10469,6790,3679,1561,1269,292,5129,2922,2207,4563,2466,2097,566,456,110,3391,1919,1472,2920,1630,1290,471,289,182,3510,3218,292,2986,2694,292,524,524,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,25327,15076,10251,21941,12827,9114,3386,2249,1137,12470,6662,5808,11334,6203,5131,1136,459,677,10084,6029,4055,8522,4750,3772,1562,1279,283,2773,2385,388,2085,1874,211,688,511,177
75,Livingston & Wyoming Counties PUMA,673,575,98,662,564,98,11,11,0,428,376,52,428,376,52,0,0,0,67,31,36,67,31,36,0,0,0,178,168,10,167,157,10,11,11,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4167,2513,1654,3955,2369,1586,212,144,68,1534,622,912,1534,622,912,0,0,0,1898,1427,471,1754,1283,471,144,144,0,735,464,271,667,464,203,68,0,68
