,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1237352,623034,614318,952743,489193,463550,284609,133841,150768,477072,216272,260800,418669,194121,224548,58403,22151,36252,564566,291174,273392,414710,218337,196373,149856,72837,77019,195714,115588,80126,119364,76735,42629,76350,38853,37497
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7966,4337,3629,6200,3315,2885,1766,1022,744,5128,2537,2591,4871,2537,2334,257,0,257,2163,1612,551,1329,778,551,834,834,0,675,188,487,0,0,0,675,188,487
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11458,5206,6252,10450,4460,5990,1008,746,262,4357,1901,2456,3978,1710,2268,379,191,188,6757,2982,3775,6128,2427,3701,629,555,74,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6141,2517,3624,4495,2203,2292,1646,314,1332,3831,1881,1950,3368,1881,1487,463,0,463,1702,509,1193,1127,322,805,575,187,388,608,127,481,0,0,0,608,127,481
4,Madison & Cortland Counties PUMA,144,45,99,144,45,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,99,0,99,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,559,153,406,475,153,322,84,0,84,475,153,322,475,153,322,0,0,0,84,0,84,0,0,0,84,0,84,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1551,925,626,967,711,256,584,214,370,712,357,355,548,357,191,164,0,164,593,365,228,282,217,65,311,148,163,246,203,43,137,137,0,109,66,43
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10102,3870,6232,9816,3797,6019,286,73,213,6475,2463,4012,6262,2463,3799,213,0,213,3238,1211,2027,3238,1211,2027,0,0,0,389,196,193,316,123,193,73,73,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",686,252,434,529,199,330,157,53,104,89,0,89,89,0,89,0,0,0,339,199,140,235,199,36,104,0,104,258,53,205,205,0,205,53,53,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,12984,5388,7596,12151,5388,6763,833,0,833,11020,4678,6342,10351,4678,5673,669,0,669,1461,207,1254,1297,207,1090,164,0,164,503,503,0,503,503,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4430,1515,2915,4404,1489,2915,26,26,0,2824,1113,1711,2824,1113,1711,0,0,0,580,389,191,554,363,191,26,26,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,1511,669,842,1392,552,840,119,117,2,893,250,643,891,250,641,2,0,2,501,302,199,501,302,199,0,0,0,117,117,0,0,0,0,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27658,13358,14300,24643,11980,12663,3015,1378,1637,14587,6356,8231,13466,5912,7554,1121,444,677,9978,5022,4956,8706,4452,4254,1272,570,702,3093,1980,1113,2471,1616,855,622,364,258
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17412,8487,8925,12202,6577,5625,5210,1910,3300,3045,1777,1268,2184,1322,862,861,455,406,11049,5621,5428,8725,4818,3907,2324,803,1521,3318,1089,2229,1293,437,856,2025,652,1373
14,Rockland County (North)--New City & Congers PUMA,10021,5058,4963,8929,4577,4352,1092,481,611,2979,1228,1751,2979,1228,1751,0,0,0,4999,3047,1952,4426,2874,1552,573,173,400,2043,783,1260,1524,475,1049,519,308,211
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",487,263,224,202,79,123,285,184,101,326,109,217,184,61,123,142,48,94,113,106,7,0,0,0,113,106,7,48,48,0,18,18,0,30,30,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13925,7721,6204,8113,4698,3415,5812,3023,2789,3820,2156,1664,2805,1562,1243,1015,594,421,6015,3166,2849,3594,2068,1526,2421,1098,1323,4090,2399,1691,1714,1068,646,2376,1331,1045
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,22276,11496,10780,17104,8776,8328,5172,2720,2452,7807,3893,3914,6964,3463,3501,843,430,413,10852,5459,5393,7991,4028,3963,2861,1431,1430,3617,2144,1473,2149,1285,864,1468,859,609
18,Tompkins County PUMA,2440,866,1574,2278,839,1439,162,27,135,2153,855,1298,2039,828,1211,114,27,87,228,0,228,228,0,228,0,0,0,59,11,48,11,11,0,48,0,48
19,Dutchess County (Southwest) PUMA,6097,2997,3100,4813,2366,2447,1284,631,653,3299,1588,1711,2646,1293,1353,653,295,358,2072,683,1389,1549,455,1094,523,228,295,726,726,0,618,618,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25992,13778,12214,20100,11152,8948,5892,2626,3266,9900,4753,5147,8336,4300,4036,1564,453,1111,13038,6950,6088,9517,5276,4241,3521,1674,1847,3054,2075,979,2247,1576,671,807,499,308
21,Westchester County (Northwest) PUMA,10405,5834,4571,7053,4237,2816,3352,1597,1755,2844,1031,1813,2844,1031,1813,0,0,0,5184,2795,2389,2514,1578,936,2670,1217,1453,2377,2008,369,1695,1628,67,682,380,302
22,Albany County (Outside Albany City) PUMA,5934,2585,3349,5306,2518,2788,628,67,561,3714,2185,1529,3647,2118,1529,67,67,0,1729,400,1329,1338,400,938,391,0,391,491,0,491,321,0,321,170,0,170
23,Monroe County (South) PUMA,5933,2984,2949,4688,2246,2442,1245,738,507,3825,1911,1914,3376,1562,1814,449,349,100,733,327,406,733,327,406,0,0,0,1375,746,629,579,357,222,796,389,407
24,Jefferson & Lewis Counties PUMA,2725,1378,1347,2436,1357,1079,289,21,268,1808,1108,700,1652,1087,565,156,21,135,917,270,647,784,270,514,133,0,133,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",444,84,360,444,84,360,0,0,0,132,0,132,132,0,132,0,0,0,271,43,228,271,43,228,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,1701,1093,608,1415,819,596,286,274,12,540,313,227,528,313,215,12,0,12,977,780,197,703,506,197,274,274,0,184,0,184,184,0,184,0,0,0
27,St. Lawrence County PUMA,648,275,373,457,227,230,191,48,143,241,196,45,193,148,45,48,48,0,322,79,243,253,79,174,69,0,69,85,0,85,11,0,11,74,0,74
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16891,8216,8675,12717,6740,5977,4174,1476,2698,8053,3485,4568,6274,3033,3241,1779,452,1327,5332,2817,2515,4423,2505,1918,909,312,597,3506,1914,1592,2020,1202,818,1486,712,774
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4125,1974,2151,4032,1974,2058,93,0,93,2544,1351,1193,2544,1351,1193,0,0,0,1231,273,958,1138,273,865,93,0,93,350,350,0,350,350,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,10469,4862,5607,8537,3988,4549,1932,874,1058,4118,1754,2364,3798,1699,2099,320,55,265,4496,2242,2254,2884,1423,1461,1612,819,793,1855,866,989,1855,866,989,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,974,659,315,752,437,315,222,222,0,456,293,163,456,293,163,0,0,0,366,366,0,144,144,0,222,222,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3363,1162,2201,3363,1162,2201,0,0,0,977,479,498,977,479,498,0,0,0,2386,683,1703,2386,683,1703,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,137,43,94,43,43,0,94,0,94,94,0,94,0,0,0,94,0,94,43,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,2322,1340,982,2155,1173,982,167,167,0,1207,504,703,1207,504,703,0,0,0,787,508,279,787,508,279,0,0,0,328,328,0,161,161,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8700,4418,4282,6337,2992,3345,2363,1426,937,4608,1804,2804,4018,1731,2287,590,73,517,3527,2381,1146,1801,1075,726,1726,1306,420,565,233,332,518,186,332,47,47,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,730,516,214,478,264,214,252,252,0,158,158,0,158,158,0,0,0,0,511,358,153,259,106,153,252,252,0,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6451,3480,2971,5708,3480,2228,743,0,743,1326,583,743,1254,583,671,72,0,72,3241,1729,1512,2570,1729,841,671,0,671,1884,1168,716,1884,1168,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",13303,6699,6604,9125,5244,3881,4178,1455,2723,2732,1500,1232,2271,1039,1232,461,461,0,7835,4070,3765,5743,3512,2231,2092,558,1534,2736,1129,1607,1111,693,418,1625,436,1189
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,31680,17407,14273,22367,12577,9790,9313,4830,4483,10178,5589,4589,8593,4543,4050,1585,1046,539,16323,8484,7839,11349,6460,4889,4974,2024,2950,5179,3334,1845,2425,1574,851,2754,1760,994
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4454,1400,3054,4354,1400,2954,100,0,100,3834,1043,2791,3794,1043,2751,40,0,40,41,41,0,41,41,0,0,0,0,579,316,263,519,316,203,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,2749,1295,1454,2142,976,1166,607,319,288,1789,811,978,1789,811,978,0,0,0,890,414,476,353,165,188,537,249,288,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9470,4273,5197,7070,2673,4397,2400,1600,800,1950,316,1634,1809,175,1634,141,141,0,7231,3815,3416,5170,2498,2672,2061,1317,744,289,142,147,91,0,91,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",43348,21776,21572,33046,16970,16076,10302,4806,5496,16115,7462,8653,13708,6439,7269,2407,1023,1384,21727,11243,10484,16037,8310,7727,5690,2933,2757,5506,3071,2435,3301,2221,1080,2205,850,1355
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,39784,21912,17872,27463,15040,12423,12321,6872,5449,7524,3319,4205,6445,3014,3431,1079,305,774,24212,13001,11211,15937,8453,7484,8275,4548,3727,8048,5592,2456,5081,3573,1508,2967,2019,948
45,Saratoga County (Outer) PUMA,1842,879,963,1716,879,837,126,0,126,1686,879,807,1560,879,681,126,0,126,156,0,156,156,0,156,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",11388,5384,6004,7230,3649,3581,4158,1735,2423,3870,1940,1930,2956,1283,1673,914,657,257,5814,2636,3178,3220,1667,1553,2594,969,1625,1704,808,896,1054,699,355,650,109,541
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",9443,4718,4725,8030,3731,4299,1413,987,426,3769,1591,2178,3599,1475,2124,170,116,54,4886,2674,2212,3793,1887,1906,1093,787,306,788,453,335,638,369,269,150,84,66
48,Wayne & Seneca Counties PUMA,392,0,392,319,0,319,73,0,73,216,0,216,216,0,216,0,0,0,176,0,176,103,0,103,73,0,73,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,4054,1720,2334,3494,1571,1923,560,149,411,2613,1157,1456,2431,1157,1274,182,0,182,1068,529,539,776,414,362,292,115,177,373,34,339,287,0,287,86,34,52
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,11127,4840,6287,8654,4113,4541,2473,727,1746,5664,2781,2883,5199,2729,2470,465,52,413,4557,1957,2600,3188,1332,1856,1369,625,744,906,102,804,267,52,215,639,50,589
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7213,3383,3830,6450,3015,3435,763,368,395,4145,2015,2130,3481,1647,1834,664,368,296,2637,1368,1269,2538,1368,1170,99,0,99,431,0,431,431,0,431,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,10893,6012,4881,9849,5663,4186,1044,349,695,2517,1020,1497,2517,1020,1497,0,0,0,6016,3615,2401,5295,3430,1865,721,185,536,2360,1377,983,2037,1213,824,323,164,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",9966,6246,3720,8879,5843,3036,1087,403,684,6400,4313,2087,5645,4092,1553,755,221,534,3324,1691,1633,3174,1691,1483,150,0,150,242,242,0,60,60,0,182,182,0
54,Columbia & Greene Counties PUMA,737,378,359,596,338,258,141,40,101,245,93,152,199,93,106,46,0,46,340,234,106,248,197,51,92,37,55,152,51,101,149,48,101,3,3,0
55,Rensselaer County--Troy City PUMA,936,390,546,449,122,327,487,268,219,613,164,449,277,47,230,336,117,219,287,190,97,136,39,97,151,151,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,4442,2370,2072,2459,1393,1066,1983,977,1006,2078,814,1264,1218,497,721,860,317,543,1020,845,175,637,567,70,383,278,105,1344,711,633,604,329,275,740,382,358
57,Erie County (South) PUMA,796,106,690,756,106,650,40,0,40,796,106,690,756,106,650,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3101,1369,1732,2539,1239,1300,562,130,432,1658,547,1111,1524,474,1050,134,73,61,1067,446,621,639,389,250,428,57,371,376,376,0,376,376,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",31618,16960,14658,21629,12042,9587,9989,4918,5071,5733,2595,3138,3979,1730,2249,1754,865,889,17879,9118,8761,13845,7402,6443,4034,1716,2318,8006,5247,2759,3805,2910,895,4201,2337,1864
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,7505,3445,4060,4981,2591,2390,2524,854,1670,2629,1046,1583,2015,985,1030,614,61,553,3038,1333,1705,2116,934,1182,922,399,523,1838,1066,772,850,672,178,988,394,594
61,NYC-Manhattan Community District 10--Central Harlem PUMA,12710,6611,6099,8792,5425,3367,3918,1186,2732,4012,1824,2188,3615,1730,1885,397,94,303,5546,2981,2565,2961,1889,1072,2585,1092,1493,3152,1806,1346,2216,1806,410,936,0,936
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,14135,7317,6818,12859,6411,6448,1276,906,370,7172,3023,4149,6969,2905,4064,203,118,85,5884,3659,2225,5102,3162,1940,782,497,285,1079,635,444,788,344,444,291,291,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,6280,2258,4022,3192,1225,1967,3088,1033,2055,1740,751,989,904,240,664,836,511,325,2709,854,1855,1314,599,715,1395,255,1140,1831,653,1178,974,386,588,857,267,590
64,Albany County (East Central)--Albany City PUMA,4901,1858,3043,4308,1536,2772,593,322,271,1760,929,831,1533,929,604,227,0,227,1602,642,960,1280,320,960,322,322,0,1539,287,1252,1495,287,1208,44,0,44
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,8914,4798,4116,7566,4037,3529,1348,761,587,3173,1451,1722,2705,1060,1645,468,391,77,4530,2348,2182,3867,2195,1672,663,153,510,1211,999,212,994,782,212,217,217,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1528,981,547,1483,981,502,45,0,45,1206,809,397,1206,809,397,0,0,0,322,172,150,277,172,105,45,0,45,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15603,7393,8210,9496,4046,5450,6107,3347,2760,4231,1360,2871,3611,1252,2359,620,108,512,9081,4816,4265,4948,2281,2667,4133,2535,1598,2291,1217,1074,937,513,424,1354,704,650
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",19763,9857,9906,11692,5729,5963,8071,4128,3943,3364,1430,1934,2246,1196,1050,1118,234,884,12382,6591,5791,7461,3594,3867,4921,2997,1924,4017,1836,2181,1985,939,1046,2032,897,1135
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11292,4664,6628,8830,3586,5244,2462,1078,1384,4248,1744,2504,3917,1640,2277,331,104,227,5077,2138,2939,3824,1803,2021,1253,335,918,1967,782,1185,1089,143,946,878,639,239
70,Erie County (Northeast) PUMA,765,359,406,752,346,406,13,13,0,752,346,406,752,346,406,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,8109,4208,3901,5515,2522,2993,2594,1686,908,2980,1016,1964,2509,934,1575,471,82,389,3495,1920,1575,1679,397,1282,1816,1523,293,1634,1272,362,1327,1191,136,307,81,226
72,Orange County (Southeast) PUMA,3269,1559,1710,2635,1272,1363,634,287,347,1870,642,1228,1523,642,881,347,0,347,1191,767,424,904,480,424,287,287,0,208,150,58,208,150,58,0,0,0
73,Westchester County (Southeast) PUMA,12139,7370,4769,10273,6059,4214,1866,1311,555,4588,2230,2358,3849,1732,2117,739,498,241,3968,2196,1772,3570,1907,1663,398,289,109,3583,2944,639,2854,2420,434,729,524,205
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,21935,11449,10486,16546,8731,7815,5389,2718,2671,9801,5074,4727,7739,4152,3587,2062,922,1140,8114,3941,4173,6027,2656,3371,2087,1285,802,4020,2434,1586,2780,1923,857,1240,511,729
75,Livingston & Wyoming Counties PUMA,773,727,46,530,484,46,243,243,0,296,296,0,296,296,0,0,0,0,67,31,36,67,31,36,0,0,0,410,400,10,167,157,10,243,243,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4229,2244,1985,3501,2025,1476,728,219,509,1222,509,713,1110,434,676,112,75,37,2281,1280,1001,1733,1136,597,548,144,404,726,455,271,658,455,203,68,0,68
