,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1234687,623988,610699,972699,503373,469326,261988,120615,141373,475659,226145,249514,419359,199989,219370,56300,26156,30144,580765,294061,286704,442385,234494,207891,138380,59567,78813,178263,103782,74481,110955,68890,42065,67308,34892,32416
1,Monroe County (Central)--Rochester City (East) PUMA,1908,1362,546,1685,1285,400,223,77,146,765,549,216,616,507,109,149,42,107,980,737,243,906,702,204,74,35,39,163,76,87,163,76,87,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,11756,6508,5248,9131,5600,3531,2625,908,1717,2670,1080,1590,2288,1080,1208,382,0,382,5981,3739,2242,4869,3331,1538,1112,408,704,3105,1689,1416,1974,1189,785,1131,500,631
3,NYC-Manhattan Community District 10--Central Harlem PUMA,16918,8770,8148,10464,6493,3971,6454,2277,4177,6334,4044,2290,4743,3222,1521,1591,822,769,7923,3177,4746,3768,1887,1881,4155,1290,2865,2661,1549,1112,1953,1384,569,708,165,543
4,Ontario & Yates Counties PUMA,766,343,423,680,343,337,86,0,86,280,233,47,280,233,47,0,0,0,405,110,295,368,110,258,37,0,37,81,0,81,32,0,32,49,0,49
5,Albany County (Outside Albany City) PUMA,6633,3743,2890,5765,3117,2648,868,626,242,5224,3012,2212,4698,2486,2212,526,526,0,1151,473,678,909,473,436,242,0,242,258,258,0,158,158,0,100,100,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",658,317,341,545,253,292,113,64,49,309,144,165,309,144,165,0,0,0,182,133,49,109,109,0,73,24,49,167,40,127,127,0,127,40,40,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,27348,15091,12257,21635,12052,9583,5713,3039,2674,11465,6530,4935,9966,5456,4510,1499,1074,425,11471,6051,5420,9240,4953,4287,2231,1098,1133,4412,2510,1902,2429,1643,786,1983,867,1116
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",8801,4768,4033,5948,3162,2786,2853,1606,1247,3644,1273,2371,2935,1148,1787,709,125,584,2342,1661,681,1117,833,284,1225,828,397,2815,1834,981,1896,1181,715,919,653,266
9,Warren & Washington Counties PUMA,288,132,156,258,123,135,30,9,21,204,132,72,195,123,72,9,9,0,84,0,84,63,0,63,21,0,21,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,5726,3528,2198,4198,2290,1908,1528,1238,290,4912,2946,1966,3484,1808,1676,1428,1138,290,459,331,128,459,331,128,0,0,0,355,251,104,255,151,104,100,100,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",16313,8927,7386,14755,8436,6319,1558,491,1067,12677,6792,5885,11776,6682,5094,901,110,791,3550,2135,1415,2893,1754,1139,657,381,276,86,0,86,86,0,86,0,0,0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1207,571,636,1099,463,636,108,108,0,525,291,234,525,291,234,0,0,0,414,172,242,414,172,242,0,0,0,268,108,160,160,0,160,108,108,0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,9833,5240,4593,8837,4696,4141,996,544,452,5657,2458,3199,5569,2370,3199,88,88,0,2117,1506,611,2039,1506,533,78,0,78,2059,1276,783,1229,820,409,830,456,374
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5153,2145,3008,3052,1424,1628,2101,721,1380,979,334,645,713,334,379,266,0,266,3102,1404,1698,2139,1090,1049,963,314,649,1072,407,665,200,0,200,872,407,465
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7197,3217,3980,5597,2458,3139,1600,759,841,4884,2551,2333,3904,1974,1930,980,577,403,1119,240,879,903,168,735,216,72,144,1194,426,768,790,316,474,404,110,294
16,Onondaga County (Central)--Syracuse City PUMA,4233,2178,2055,1985,885,1100,2248,1293,955,2011,1164,847,881,353,528,1130,811,319,1451,732,719,997,501,496,454,231,223,771,282,489,107,31,76,664,251,413
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9584,4942,4642,9008,4657,4351,576,285,291,4243,2052,2191,4099,1908,2191,144,144,0,4251,2495,1756,4017,2401,1616,234,94,140,1090,395,695,892,348,544,198,47,151
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,9388,3935,5453,8818,3494,5324,570,441,129,3451,1231,2220,3386,1166,2220,65,65,0,5257,2381,2876,4961,2214,2747,296,167,129,680,323,357,471,114,357,209,209,0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14977,6747,8230,9898,5297,4601,5079,1450,3629,6791,3309,3482,5296,2721,2575,1495,588,907,6387,2213,4174,3362,1698,1664,3025,515,2510,1799,1225,574,1240,878,362,559,347,212
20,Monroe County (Central)--Rochester City (West) PUMA,2427,1263,1164,2347,1183,1164,80,80,0,509,305,204,509,305,204,0,0,0,1504,800,704,1424,720,704,80,80,0,414,158,256,414,158,256,0,0,0
21,"Chenango, Delaware & Broome (East) Counties PUMA",695,230,465,557,225,332,138,5,133,440,128,312,307,128,179,133,0,133,218,102,116,213,97,116,5,5,0,37,0,37,37,0,37,0,0,0
22,Dutchess County (North & East) PUMA,2689,1082,1607,2020,809,1211,669,273,396,1455,737,718,1416,698,718,39,39,0,437,0,437,292,0,292,145,0,145,797,345,452,312,111,201,485,234,251
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,11967,6338,5629,10033,5613,4420,1934,725,1209,5903,2768,3135,5055,2423,2632,848,345,503,4832,3088,1744,4146,2708,1438,686,380,306,1232,482,750,832,482,350,400,0,400
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5239,2433,2806,3391,1362,2029,1848,1071,777,2453,1051,1402,1979,733,1246,474,318,156,1869,1001,868,735,351,384,1134,650,484,917,381,536,677,278,399,240,103,137
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,15617,6830,8787,13775,6333,7442,1842,497,1345,7041,3427,3614,6823,3427,3396,218,0,218,7732,2963,4769,6445,2705,3740,1287,258,1029,844,440,404,507,201,306,337,239,98
26,Westchester County (Southeast) PUMA,13883,8195,5688,12720,7596,5124,1163,599,564,4749,2276,2473,4620,2276,2344,129,0,129,6115,2972,3143,5624,2916,2708,491,56,435,3019,2947,72,2476,2404,72,543,543,0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,13806,7971,5835,11203,6889,4314,2603,1082,1521,3203,1798,1405,3019,1705,1314,184,93,91,7086,4230,2856,6268,3863,2405,818,367,451,3517,1943,1574,1916,1321,595,1601,622,979
28,Westchester County (Northwest) PUMA,13846,7032,6814,9747,5231,4516,4099,1801,2298,3492,1237,2255,3156,1125,2031,336,112,224,7023,4096,2927,5327,3271,2056,1696,825,871,3331,1699,1632,1264,835,429,2067,864,1203
29,Monroe County (South) PUMA,6453,3639,2814,5453,3126,2327,1000,513,487,4576,2563,2013,4009,2221,1788,567,342,225,1877,1076,801,1444,905,539,433,171,262,0,0,0,0,0,0,0,0,0
30,Rockland County (North)--New City & Congers PUMA,6424,2635,3789,4801,1944,2857,1623,691,932,2353,843,1510,2210,785,1425,143,58,85,3461,1440,2021,2271,1097,1174,1190,343,847,610,352,258,320,62,258,290,290,0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",16817,8498,8319,9249,5125,4124,7568,3373,4195,2016,893,1123,1395,580,815,621,313,308,9301,5180,4121,5856,3682,2174,3445,1498,1947,5500,2425,3075,1998,863,1135,3502,1562,1940
32,Orange County (Southeast) PUMA,3476,796,2680,3221,735,2486,255,61,194,994,224,770,994,224,770,0,0,0,1261,461,800,1076,436,640,185,25,160,1221,111,1110,1151,75,1076,70,36,34
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",24414,13654,10760,21331,12199,9132,3083,1455,1628,9134,4395,4739,7735,3708,4027,1399,687,712,12561,7704,4857,11332,7086,4246,1229,618,611,2719,1555,1164,2264,1405,859,455,150,305
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,8451,3972,4479,7701,3592,4109,750,380,370,4351,1940,2411,4300,1940,2360,51,0,51,3002,991,2011,2464,772,1692,538,219,319,1098,1041,57,937,880,57,161,161,0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",7256,3744,3512,5139,2939,2200,2117,805,1312,1854,735,1119,1163,492,671,691,243,448,4096,2255,1841,3539,2116,1423,557,139,418,1306,754,552,437,331,106,869,423,446
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,28549,16308,12241,24192,13649,10543,4357,2659,1698,13349,6657,6692,11896,5974,5922,1453,683,770,13589,8733,4856,11143,7156,3987,2446,1577,869,1611,918,693,1153,519,634,458,399,59
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,5689,2610,3079,5089,2353,2736,600,257,343,3302,1624,1678,3302,1624,1678,0,0,0,2104,788,1316,1504,531,973,600,257,343,283,198,85,283,198,85,0,0,0
38,Westchester County (Southwest)--Yonkers City PUMA,19539,8982,10557,14560,6728,7832,4979,2254,2725,5660,2389,3271,5314,2389,2925,346,0,346,10869,4803,6066,7674,3296,4378,3195,1507,1688,3010,1790,1220,1572,1043,529,1438,747,691
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",6296,2849,3447,5688,2740,2948,608,109,499,4494,1915,2579,4128,1915,2213,366,0,366,493,282,211,360,282,78,133,0,133,1309,652,657,1200,543,657,109,109,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,15480,7905,7575,10811,5680,5131,4669,2225,2444,4395,2646,1749,3798,2141,1657,597,505,92,9042,4419,4623,6223,3200,3023,2819,1219,1600,2043,840,1203,790,339,451,1253,501,752
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25945,14459,11486,20401,11324,9077,5544,3135,2409,8972,4753,4219,7615,4151,3464,1357,602,755,13599,7435,6164,10540,5844,4696,3059,1591,1468,3374,2271,1103,2246,1329,917,1128,942,186
42,Erie County (West Central)--Buffalo City (West) PUMA,3444,1624,1820,1952,832,1120,1492,792,700,1308,564,744,747,503,244,561,61,500,1238,765,473,491,166,325,747,599,148,898,295,603,714,163,551,184,132,52
43,Fulton & Montgomery Counties PUMA,884,580,304,699,466,233,185,114,71,304,114,190,119,0,119,185,114,71,580,466,114,580,466,114,0,0,0,0,0,0,0,0,0,0,0,0
44,Westchester County (Central)--White Plains City PUMA,14415,7152,7263,12388,6479,5909,2027,673,1354,6590,2696,3894,6071,2696,3375,519,0,519,5386,2705,2681,4349,2350,1999,1037,355,682,2439,1751,688,1968,1433,535,471,318,153
45,St. Lawrence County PUMA,537,187,350,519,169,350,18,18,0,481,169,312,481,169,312,0,0,0,56,18,38,38,0,38,18,18,0,0,0,0,0,0,0,0,0,0
46,Saratoga County (South & Central) PUMA,4101,2238,1863,3336,1799,1537,765,439,326,2685,1364,1321,2537,1295,1242,148,69,79,654,212,442,295,0,295,359,212,147,762,662,100,504,504,0,258,158,100
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4751,2175,2576,4632,2175,2457,119,0,119,1918,837,1081,1918,837,1081,0,0,0,2025,937,1088,1906,937,969,119,0,119,808,401,407,808,401,407,0,0,0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3354,1458,1896,2538,1205,1333,816,253,563,2543,1311,1232,2192,1140,1052,351,171,180,428,147,281,346,65,281,82,82,0,383,0,383,0,0,0,383,0,383
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,2041,1127,914,1820,1127,693,221,0,221,1414,814,600,1414,814,600,0,0,0,402,88,314,181,88,93,221,0,221,225,225,0,225,225,0,0,0,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6607,2969,3638,5166,2265,2901,1441,704,737,1331,976,355,1155,800,355,176,176,0,4713,1644,3069,3506,1174,2332,1207,470,737,563,349,214,505,291,214,58,58,0
52,Westchester County (Northeast) PUMA,6234,2765,3469,5273,2343,2930,961,422,539,3358,1153,2205,2963,1153,1810,395,0,395,2364,1364,1000,2190,1190,1000,174,174,0,512,248,264,120,0,120,392,248,144
53,Chautauqua County PUMA,496,173,323,220,35,185,276,138,138,25,0,25,25,0,25,0,0,0,333,173,160,195,35,160,138,138,0,138,0,138,0,0,0,138,0,138
54,Erie County (West Central)--Buffalo City (East) PUMA,2741,2031,710,1219,1003,216,1522,1028,494,691,397,294,318,249,69,373,148,225,1709,1293,416,560,413,147,1149,880,269,341,341,0,341,341,0,0,0,0
55,Cayuga & Onondaga (South) Counties PUMA,880,437,443,880,437,443,0,0,0,513,282,231,513,282,231,0,0,0,231,109,122,231,109,122,0,0,0,136,46,90,136,46,90,0,0,0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4048,1535,2513,1977,811,1166,2071,724,1347,443,150,293,361,150,211,82,0,82,2470,928,1542,1157,458,699,1313,470,843,1135,457,678,459,203,256,676,254,422
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,4203,2476,1727,4203,2476,1727,0,0,0,1619,938,681,1619,938,681,0,0,0,1891,1099,792,1891,1099,792,0,0,0,693,439,254,693,439,254,0,0,0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",9385,4100,5285,8191,3753,4438,1194,347,847,7940,3626,4314,7448,3379,4069,492,247,245,1309,338,971,607,238,369,702,100,602,136,136,0,136,136,0,0,0,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,10375,4740,5635,7112,3320,3792,3263,1420,1843,3538,1483,2055,3249,1483,1766,289,0,289,4562,1519,3043,2274,426,1848,2288,1093,1195,2275,1738,537,1589,1411,178,686,327,359
60,Schenectady County--Schenectady City PUMA,1861,907,954,1640,780,860,221,127,94,1200,663,537,1177,640,537,23,23,0,352,244,108,220,140,80,132,104,28,309,0,309,243,0,243,66,0,66
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",596,275,321,463,180,283,133,95,38,234,180,54,234,180,54,0,0,0,289,95,194,156,0,156,133,95,38,73,0,73,73,0,73,0,0,0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1704,888,816,1430,682,748,274,206,68,1146,672,474,1035,576,459,111,96,15,378,163,215,268,53,215,110,110,0,180,53,127,127,53,74,53,0,53
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",16218,6720,9498,13822,5920,7902,2396,800,1596,6661,2486,4175,5946,2319,3627,715,167,548,8170,3501,4669,6620,2999,3621,1550,502,1048,1387,733,654,1256,602,654,131,131,0
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",3179,1636,1543,2936,1568,1368,243,68,175,1323,549,774,1323,549,774,0,0,0,1185,596,589,942,528,414,243,68,175,671,491,180,671,491,180,0,0,0
65,Onondaga County (North) PUMA,1343,499,844,988,394,594,355,105,250,400,201,199,400,201,199,0,0,0,777,193,584,527,193,334,250,0,250,166,105,61,61,0,61,105,105,0
66,Ulster County (East) PUMA,3398,1321,2077,2884,1140,1744,514,181,333,1204,491,713,1204,491,713,0,0,0,1668,624,1044,1235,524,711,433,100,333,526,206,320,445,125,320,81,81,0
67,Oswego County PUMA,453,209,244,412,209,203,41,0,41,310,144,166,310,144,166,0,0,0,78,0,78,37,0,37,41,0,41,65,65,0,65,65,0,0,0,0
68,Niagara County (North & East) PUMA,430,168,262,319,116,203,111,52,59,264,150,114,212,98,114,52,52,0,166,18,148,107,18,89,59,0,59,0,0,0,0,0,0,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,291,117,174,291,117,174,0,0,0,169,82,87,169,82,87,0,0,0,35,35,0,35,35,0,0,0,0,87,0,87,87,0,87,0,0,0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",20521,10739,9782,12560,7742,4818,7961,2997,4964,5519,2902,2617,3422,1698,1724,2097,1204,893,10887,6341,4546,6952,5193,1759,3935,1148,2787,4115,1496,2619,2186,851,1335,1929,645,1284
71,Suffolk County (Southwest)--Islip Town (South) PUMA,5852,3560,2292,5349,3290,2059,503,270,233,2426,1489,937,2364,1427,937,62,62,0,2653,1578,1075,2367,1370,997,286,208,78,773,493,280,618,493,125,155,0,155
72,Erie County (Central) PUMA,1084,532,552,596,322,274,488,210,278,299,125,174,299,125,174,0,0,0,412,359,53,250,197,53,162,162,0,373,48,325,47,0,47,326,48,278
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11593,5297,6296,9612,4542,5070,1981,755,1226,4395,1872,2523,4173,1708,2465,222,164,58,5445,2259,3186,3927,1909,2018,1518,350,1168,1753,1166,587,1512,925,587,241,241,0
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1556,932,624,1173,549,624,383,383,0,933,489,444,933,489,444,0,0,0,623,443,180,240,60,180,383,383,0,0,0,0,0,0,0,0,0,0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4609,2726,1883,4545,2726,1819,64,0,64,1707,788,919,1707,788,919,0,0,0,2071,1362,709,2071,1362,709,0,0,0,831,576,255,767,576,191,64,0,64
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",26759,12993,13766,22279,10659,11620,4480,2334,2146,8878,3157,5721,7977,2642,5335,901,515,386,15076,7973,7103,12334,6780,5554,2742,1193,1549,2805,1863,942,1968,1237,731,837,626,211
