,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7475284,3049267,1370305,1678962,3855771,1992903,1862868,570246,325162,245084
1,Monroe County (Central)--Rochester City (East) PUMA,54591,19911,9415,10496,27537,14223,13314,7143,3579,3564
2,NYC-Brooklyn Community District 4--Bushwick PUMA,50169,22142,11377,10765,22157,12191,9966,5870,1789,4081
3,NYC-Manhattan Community District 10--Central Harlem PUMA,60897,28975,14396,14579,24250,11185,13065,7672,3381,4291
4,Ontario & Yates Counties PUMA,65411,24341,10818,13523,36496,18330,18166,4574,3013,1561
5,Albany County (Outside Albany City) PUMA,91705,39902,18296,21606,47586,24006,23580,4217,2643,1574
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",51993,14469,6395,8074,33115,16722,16393,4409,2889,1520
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,31833,12171,5925,6246,17591,8802,8789,2071,1321,750
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",37791,22036,10946,11090,14486,8071,6415,1269,857,412
9,Warren & Washington Counties PUMA,65578,16859,6980,9879,43285,23110,20175,5434,3401,2033
10,Erie County (North Central) PUMA,49451,30973,14040,16933,17494,9031,8463,984,343,641
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",68101,54080,31232,22848,11901,7112,4789,2120,1687,433
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,53576,26970,12171,14799,24775,13842,10933,1831,1411,420
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,45214,18376,8206,10170,25351,13071,12280,1487,1371,116
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,46702,6481,2897,3584,33813,14739,19074,6408,3288,3120
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,65795,45755,21179,24576,14563,6982,7581,5477,3082,2395
16,Onondaga County (Central)--Syracuse City PUMA,55436,14916,6806,8110,33943,14772,19171,6577,3617,2960
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,39846,16446,7649,8797,21422,11190,10232,1978,791,1187
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,37288,20937,10090,10847,15479,8733,6746,872,798,74
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",51404,27258,14793,12465,17696,9406,8290,6450,3520,2930
20,Monroe County (Central)--Rochester City (West) PUMA,47061,7517,3145,4372,30333,14625,15708,9211,4549,4662
21,"Chenango, Delaware & Broome (East) Counties PUMA",52261,11437,4351,7086,36021,19084,16937,4803,2998,1805
22,Dutchess County (North & East) PUMA,56515,20381,8616,11765,33503,18168,15335,2631,1941,690
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35801,19384,9203,10181,14750,8336,6414,1667,749,918
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,69204,44119,21087,23032,20036,10086,9950,5049,3024,2025
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,55350,19548,7190,12358,32511,15148,17363,3291,1658,1633
26,Westchester County (Southeast) PUMA,34179,26237,12470,13767,7054,4235,2819,888,595,293
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,34623,11778,3870,7908,19260,9349,9911,3585,2540,1045
28,Westchester County (Northwest) PUMA,53006,27881,11632,16249,21222,12068,9154,3903,2974,929
29,Monroe County (South) PUMA,73310,42648,20126,22522,28894,15030,13864,1768,1201,567
30,Rockland County (North)--New City & Congers PUMA,39096,21184,8186,12998,17001,9763,7238,911,631,280
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",49735,5088,1859,3229,27052,12756,14296,17595,10661,6934
32,Orange County (Southeast) PUMA,52870,22147,9932,12215,28044,15259,12785,2679,1472,1207
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",62148,14537,4804,9733,40943,21161,19782,6668,3238,3430
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41258,26284,12265,14019,14316,6885,7431,658,448,210
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",29867,7309,3317,3992,18472,9419,9053,4086,2437,1649
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,34725,23120,11555,11565,10386,6942,3444,1219,1087,132
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,44450,22404,11301,11103,21444,10655,10789,602,467,135
38,Westchester County (Southwest)--Yonkers City PUMA,62352,24216,10045,14171,29748,15262,14486,8388,5051,3337
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",67233,59227,28944,30283,6404,3708,2696,1602,1057,545
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,38303,19509,8748,10761,16962,10315,6647,1832,995,837
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,29581,11358,6373,4985,16280,8526,7754,1943,1000,943
42,Erie County (West Central)--Buffalo City (West) PUMA,54714,24404,11408,12996,25787,13683,12104,4523,2737,1786
43,Fulton & Montgomery Counties PUMA,51977,9989,3976,6013,35059,17611,17448,6929,3770,3159
44,Westchester County (Central)--White Plains City PUMA,57540,40316,18901,21415,15493,8248,7245,1731,998,733
45,St. Lawrence County PUMA,51680,12062,4991,7071,34391,18617,15774,5227,3437,1790
46,Saratoga County (South & Central) PUMA,52669,26256,12434,13822,25283,13836,11447,1130,764,366
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,52186,16776,8218,8558,33740,18274,15466,1670,1003,667
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,45214,22293,10172,12121,21671,11662,10009,1250,1142,108
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,53159,12257,5331,6926,37080,18601,18479,3822,2511,1311
50,Suffolk County (Central)--Islip Town (East) PUMA,46203,19676,8422,11254,25217,13737,11480,1310,497,813
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",30761,14592,6718,7874,14564,6541,8023,1605,1314,291
52,Westchester County (Northeast) PUMA,56341,37198,17111,20087,17649,9632,8017,1494,678,816
53,Chautauqua County PUMA,62160,13452,5258,8194,43867,22816,21051,4841,2857,1984
54,Erie County (West Central)--Buffalo City (East) PUMA,69081,11694,5028,6666,48197,22340,25857,9190,3548,5642
55,Cayuga & Onondaga (South) Counties PUMA,58569,17295,8640,8655,36087,18545,17542,5187,3417,1770
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,71616,19001,8462,10539,44624,22813,21811,7991,4921,3070
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,46442,18323,7621,10702,26416,13790,12626,1703,776,927
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",68728,61071,29285,31786,6154,4329,1825,1503,510,993
59,NYC-Manhattan Community District 11--East Harlem PUMA,47843,18358,6160,12198,21740,10686,11054,7745,3479,4266
60,Schenectady County--Schenectady City PUMA,71999,20594,9625,10969,45652,21463,24189,5753,3738,2015
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",87477,17747,6634,11113,59559,33880,25679,10171,7809,2362
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,75138,32401,14968,17433,38965,19219,19746,3772,2125,1647
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",27730,15832,8159,7673,10669,6394,4275,1229,566,663
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",66544,27542,10892,16650,37613,20576,17037,1389,1086,303
65,Onondaga County (North) PUMA,69328,29963,13828,16135,37019,19447,17572,2346,1600,746
66,Ulster County (East) PUMA,72156,25512,10195,15317,42043,21764,20279,4601,3221,1380
67,Oswego County PUMA,60787,11885,4849,7036,41611,21111,20500,7291,4631,2660
68,Niagara County (North & East) PUMA,54615,14523,5623,8900,37058,19189,17869,3034,1478,1556
69,Broome (Outer West) & Tioga Counties PUMA,51835,14945,6613,8332,34014,18400,15614,2876,1851,1025
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",30519,5917,3062,2855,17419,8810,8609,7183,4089,3094
71,Suffolk County (Southwest)--Islip Town (South) PUMA,49525,24864,12363,12501,23232,11908,11324,1429,422,1007
72,Erie County (Central) PUMA,78488,20553,7537,13016,54189,28039,26150,3746,2508,1238
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",31868,14500,5956,8544,12676,6228,6448,4692,2562,2130
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,51594,13772,6633,7139,33230,17094,16136,4592,3420,1172
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,44488,24624,11253,13371,18666,10127,8539,1198,334,864
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",49902,16595,5740,10855,30019,15276,14743,3288,2243,1045
77,Cattaraugus & Allegany Counties PUMA,58467,11051,4325,6726,42733,21766,20967,4683,3116,1567
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",41329,15771,7292,8479,22653,11492,11161,2905,1769,1136
79,Jefferson & Lewis Counties PUMA,67443,14872,6571,8301,45977,25277,20700,6594,3571,3023
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",58067,45503,21641,23862,10441,5676,4765,2123,1217,906
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,62302,37148,18955,18193,21475,12426,9049,3679,2172,1507
82,Saratoga County (Outer) PUMA,62387,23670,12002,11668,34093,15347,18746,4624,3082,1542
83,Dutchess County (Southwest) PUMA,73905,27690,12479,15211,41731,22965,18766,4484,2921,1563
84,Erie County (Northwest) PUMA,54796,22916,10632,12284,28794,13680,15114,3086,1799,1287
85,Genesee & Orleans Counties PUMA,52123,9051,3186,5865,38909,20282,18627,4163,3048,1115
86,Erie County (Northeast) PUMA,60363,27314,13723,13591,31591,15579,16012,1458,667,791
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",57023,22099,10111,11988,32395,17140,15255,2529,1320,1209
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,63105,27755,14617,13138,29555,14630,14925,5795,3101,2694
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,39697,18118,6616,11502,20327,11704,8623,1252,479,773
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,58462,17247,8235,9012,35894,17779,18115,5321,3206,2115
91,Orange County (Northeast)--Greater Newburgh City PUMA,52949,16639,7410,9229,31453,16074,15379,4857,2747,2110
92,Sullivan & Ulster (West) Counties PUMA,47644,13776,6219,7557,29995,15816,14179,3873,2982,891
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",63008,19755,8544,11211,36824,18309,18515,6429,3370,3059
94,Wayne & Seneca Counties PUMA,62592,13946,5824,8122,41776,20931,20845,6870,4545,2325
95,Albany County (East Central)--Albany City PUMA,42501,19926,10183,9743,19811,9495,10316,2764,1877,887
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,34026,23378,11224,12154,9641,4346,5295,1007,467,540
97,Rensselaer County--Troy City PUMA,79793,25944,13481,12463,48313,22739,25574,5536,2867,2669
98,Tompkins County PUMA,39207,17611,7587,10024,18032,8674,9358,3564,2201,1363
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,38580,11692,4627,7065,23952,11329,12623,2936,2066,870
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,20676,8875,4358,4517,9938,6693,3245,1863,1048,815
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,15338,5139,2368,2771,7798,4155,3643,2401,1874,527
102,Columbia & Greene Counties PUMA,53598,14154,5770,8384,33851,17298,16553,5593,4625,968
103,Madison & Cortland Counties PUMA,57370,16677,6812,9865,36192,19482,16710,4501,2525,1976
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,31713,21496,10331,11165,8473,4890,3583,1744,1178,566
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,50999,6635,2361,4274,36285,15382,20903,8079,4278,3801
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",27591,2636,535,2101,16035,9350,6685,8920,3589,5331
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,59089,32652,13945,18707,20327,10030,10297,6110,3684,2426
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",48713,8158,2975,5183,35974,18441,17533,4581,2587,1994
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,54707,10533,5173,5360,39740,19929,19811,4434,2721,1713
110,Livingston & Wyoming Counties PUMA,53584,11423,4411,7012,38559,20637,17922,3602,3057,545
111,Putnam County PUMA,45243,20554,9072,11482,23238,13146,10092,1451,690,761
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",32785,12332,4594,7738,18554,10308,8246,1899,1016,883
113,Suffolk County (Northwest)--Huntington Town (North) PUMA,37711,22975,9923,13052,14056,8006,6050,680,358,322
114,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",36833,9626,3847,5779,22910,11350,11560,4297,1447,2850
115,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,54466,31398,16701,14697,18823,11174,7649,4245,2845,1400
116,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,36850,22196,9835,12361,14146,8038,6108,508,223,285
117,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,69339,36231,15872,20359,27669,13564,14105,5439,2355,3084
118,Orange County (Northwest) PUMA,50516,12955,5327,7628,33153,17562,15591,4408,2814,1594
119,Nassau County (Central)--Hempstead Town (East Central) PUMA,48846,26466,12194,14272,21400,12196,9204,980,570,410
120,Monroe County (North & West) PUMA,51234,18386,7368,11018,30855,16024,14831,1993,1311,682
121,Suffolk County (Northwest)--Smithtown Town PUMA,56857,31877,15828,16049,23845,11842,12003,1135,711,424
122,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,49549,13278,6637,6641,30997,14251,16746,5274,2741,2533
123,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",35989,10532,5384,5148,19365,9467,9898,6092,3931,2161
124,Suffolk County (Central)--Brookhaven Town (Central) PUMA,55170,17169,6867,10302,34614,16185,18429,3387,1958,1429
125,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,34644,10838,4496,6342,21455,11594,9861,2351,868,1483
126,Erie County (South) PUMA,83552,28651,12730,15921,51380,27350,24030,3521,1944,1577
127,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",36630,10177,4154,6023,21977,10204,11773,4476,2998,1478
128,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",44471,12131,4501,7630,26579,13661,12918,5761,2314,3447
129,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",41674,14273,5633,8640,24483,12337,12146,2918,1300,1618
130,Nassau County (West Central)--North Hempstead Town (South) PUMA,35252,18522,8019,10503,15338,8941,6397,1392,914,478
131,Monroe County (Central)--Greece & Gates Towns PUMA,60977,14713,5580,9133,42095,20964,21131,4169,2416,1753
132,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",63746,34541,13785,20756,21543,13253,8290,7662,4129,3533
133,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",28344,14062,5526,8536,13006,6677,6329,1276,407,869
134,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",49373,6677,3052,3625,29546,14812,14734,13150,7548,5602
135,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,38720,21510,10203,11307,15520,8835,6685,1690,730,960
136,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,20146,7107,2348,4759,9231,4564,4667,3808,589,3219
137,NYC-Manhattan Community District 8--Upper East Side PUMA,93486,80011,31068,48943,10736,6317,4419,2739,1489,1250
138,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,33696,18142,8862,9280,12092,6755,5337,3462,1720,1742
139,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",29831,6410,1991,4419,16963,9216,7747,6458,2269,4189
140,Monroe County (East) PUMA,61411,27552,12518,15034,32758,15889,16869,1101,213,888
141,Suffolk County (East) PUMA,55571,24236,10561,13675,28164,14439,13725,3171,2059,1112
142,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",35022,14731,6291,8440,18377,11391,6986,1914,921,993
143,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",50104,9922,1868,8054,31891,15895,15996,8291,3405,4886
144,Suffolk County (Central)--Islip Town (Northwest) PUMA,39414,6490,3232,3258,25997,13843,12154,6927,2451,4476
145,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,98100,84253,35219,49034,13249,6126,7123,598,156,442
146,Capital Region,520230,187305,88771,98534,297874,147294,150580,35051,22997,12054
147,Central NY,376628,123137,55903,67234,223817,112576,111241,29674,17915,11759
148,Finger Lakes,582294,189488,82391,107097,348212,176935,171277,44594,26932,17662
149,Long Island,1115623,515181,233316,281865,552461,289516,262945,47981,27401,20580
150,Mid-Hudson,891309,402262,177730,224532,431954,231016,200938,57093,35364,21729
151,Mohawk Valley,230293,53992,24006,29986,152538,77075,75463,23763,14301,9462
152,New York City,2580302,1236232,559561,676671,1102550,572699,529851,241520,126129,115391
153,North Country,206600,44681,18196,26485,139927,77774,62153,21992,14817,7175
154,Southern Tier,293159,79201,34796,44405,188268,95944,92324,25690,15798,9892
155,Western NY,678846,217788,95635,122153,418170,212074,206096,42888,23508,19380
