,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7481918,2958032,1351382,1606650,3961990,2013915,1948075,561896,307336,254560
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",69013,58545,28421,30124,9628,5121,4507,840,61,779
2,Tompkins County PUMA,37395,18480,8361,10119,17162,8373,8789,1753,1145,608
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,65970,32615,14685,17930,29527,14933,14594,3828,2446,1382
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",45262,18651,10412,8239,24202,12082,12120,2409,1143,1266
5,Madison & Cortland Counties PUMA,57998,16845,7219,9626,36595,19294,17301,4558,2606,1952
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,44143,6593,2166,4427,30527,14145,16382,7023,3062,3961
7,Dutchess County (Southwest) PUMA,73019,25754,12601,13153,40677,20409,20268,6588,4016,2572
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",43864,5932,2282,3650,25447,9498,15949,12485,5364,7121
9,Dutchess County (North & East) PUMA,60562,22401,9843,12558,34704,18319,16385,3457,2553,904
10,Erie County (Central) PUMA,78119,18761,8293,10468,56214,29435,26779,3144,1649,1495
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,42250,11619,5237,6382,27930,14246,13684,2701,1604,1097
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",53004,14043,6402,7641,35310,18195,17115,3651,1994,1657
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,31815,16438,6867,9571,12133,7428,4705,3244,1944,1300
14,Westchester County (Northeast) PUMA,54972,38898,17252,21646,14687,7512,7175,1387,499,888
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,37227,20391,9784,10607,15889,8831,7058,947,574,373
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,56200,13372,6876,6496,38722,19662,19060,4106,1830,2276
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,49833,25498,10121,15377,22466,12390,10076,1869,867,1002
18,Niagara County (North & East) PUMA,54429,15452,7703,7749,36814,18565,18249,2163,908,1255
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",46657,14499,5712,8787,28488,14716,13772,3670,2246,1424
20,"Chenango, Delaware & Broome (East) Counties PUMA",54784,10315,3524,6791,37682,18943,18739,6787,4575,2212
21,Oswego County PUMA,61931,13940,6149,7791,41773,21740,20033,6218,3488,2730
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",31860,15903,7599,8304,14761,8144,6617,1196,1075,121
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,27865,8470,3861,4609,16385,7620,8765,3010,993,2017
24,Ontario & Yates Counties PUMA,65640,18457,7947,10510,40379,20988,19391,6804,3749,3055
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",32543,16298,7645,8653,14069,7353,6716,2176,1147,1029
26,Erie County (Northwest) PUMA,56029,19544,8913,10631,34364,17116,17248,2121,1015,1106
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,44553,22009,10050,11959,18207,9074,9133,4337,2181,2156
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",27512,9074,4271,4803,15405,6964,8441,3033,1550,1483
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",75381,65046,35074,29972,9161,4920,4241,1174,505,669
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",28430,5658,2075,3583,16995,7105,9890,5777,3050,2727
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,60561,35828,17184,18644,20638,10298,10340,4095,1350,2745
32,Erie County (West Central)--Buffalo City (West) PUMA,51932,19891,9898,9993,26426,12732,13694,5615,2946,2669
33,Schenectady County--Schenectady City PUMA,71779,23027,9843,13184,43434,20724,22710,5318,3205,2113
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63973,43461,20980,22481,17134,7898,9236,3378,1742,1636
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",54318,10034,4230,5804,39591,20296,19295,4693,2892,1801
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,68302,41670,20866,20804,19980,11448,8532,6652,3430,3222
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,42441,25483,12693,12790,15967,7951,8016,991,313,678
38,Erie County (Northeast) PUMA,58777,22020,10150,11870,35389,17998,17391,1368,978,390
39,Monroe County (North & West) PUMA,53889,17960,7205,10755,34084,18174,15910,1845,1312,533
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,68999,18821,9084,9737,44530,22694,21836,5648,3103,2545
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",39772,14394,7920,6474,19278,8683,10595,6100,4044,2056
42,Erie County (West Central)--Buffalo City (East) PUMA,66893,9300,4965,4335,47596,22483,25113,9997,4411,5586
43,Suffolk County (Northwest)--Smithtown Town PUMA,55485,30723,14148,16575,23589,12739,10850,1173,701,472
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,40492,25549,12442,13107,14347,7196,7151,596,381,215
45,NYC-Manhattan Community District 8--Upper East Side PUMA,97194,85760,34567,51193,10518,4881,5637,916,370,546
46,Suffolk County (Southwest)--Islip Town (South) PUMA,47825,19485,8862,10623,26269,14257,12012,2071,1351,720
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",64963,49254,23150,26104,12939,6598,6341,2770,1654,1116
48,Erie County (South) PUMA,88957,31671,14196,17475,53497,28098,25399,3789,2064,1725
49,Albany County (Outside Albany City) PUMA,92673,37494,18122,19372,51668,26446,25222,3511,1181,2330
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,42146,12968,4897,8071,26086,11079,15007,3092,2159,933
51,Erie County (North Central) PUMA,50803,28746,12773,15973,20346,10070,10276,1711,1254,457
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",70445,26145,10720,15425,41100,20824,20276,3200,2212,988
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",52865,29462,13175,16287,18759,11763,6996,4644,2861,1783
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,86698,70606,31147,39459,15518,8081,7437,574,339,235
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",44584,15714,7724,7990,24618,12122,12496,4252,1654,2598
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",27515,11479,5643,5836,13817,6769,7048,2219,1367,852
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",57049,13482,5052,8430,37214,20122,17092,6353,3891,2462
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,46624,22934,9646,13288,22484,11910,10574,1206,1050,156
59,Albany County (East Central)--Albany City PUMA,47251,16609,7105,9504,27567,13939,13628,3075,1679,1396
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,62590,38402,21415,16987,16714,9426,7288,7474,5101,2373
61,Rensselaer County--Troy City PUMA,81513,21480,9769,11711,53874,27354,26520,6159,3090,3069
62,Warren & Washington Counties PUMA,68079,14548,5896,8652,46529,24673,21856,7002,4947,2055
63,Orange County (Northeast)--Greater Newburgh City PUMA,50615,13979,6581,7398,33458,17207,16251,3178,1458,1720
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",43619,24722,11090,13632,15946,8782,7164,2951,1412,1539
65,Fulton & Montgomery Counties PUMA,53065,10043,4019,6024,36946,18349,18597,6076,4297,1779
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,31643,10289,4495,5794,16638,8577,8061,4716,2344,2372
67,Monroe County (Central)--Rochester City (East) PUMA,55336,18310,9502,8808,28434,14464,13970,8592,3390,5202
68,Chautauqua County PUMA,65862,13523,5841,7682,47191,24173,23018,5148,3057,2091
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,36987,29917,14647,15270,6886,2633,4253,184,99,85
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",89139,22152,8934,13218,59419,33405,26014,7568,5673,1895
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,24841,16037,6477,9560,8047,4481,3566,757,747,10
72,Monroe County (Central)--Rochester City (West) PUMA,44480,7821,3687,4134,29766,13487,16279,6893,2804,4089
73,Orange County (Southeast) PUMA,53463,19888,8498,11390,29746,14940,14806,3829,2167,1662
74,Rockland County (North)--New City & Congers PUMA,35916,17503,8100,9403,16422,8952,7470,1991,736,1255
75,Westchester County (Southeast) PUMA,36018,24491,12178,12313,11125,5116,6009,402,172,230
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",38835,23196,9188,14008,12371,5984,6387,3268,1918,1350
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,43536,25687,12961,12726,17226,8082,9144,623,506,117
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,30745,17441,9341,8100,11233,6711,4522,2071,1615,456
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",41925,10523,3876,6647,24267,12833,11434,7135,4529,2606
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,79737,32431,15395,17036,44360,21504,22856,2946,1624,1322
81,Wayne & Seneca Counties PUMA,64608,14584,6078,8506,43756,23247,20509,6268,3591,2677
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",27834,7015,2012,5003,17025,7555,9470,3794,2055,1739
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,41351,20101,9335,10766,20100,10624,9476,1150,489,661
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,48096,18483,7497,10986,26198,13925,12273,3415,2140,1275
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",33884,8179,2062,6117,21360,10082,11278,4345,2120,2225
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,63417,14053,4397,9656,44587,21623,22964,4777,2220,2557
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,15090,5868,2809,3059,7925,5004,2921,1297,390,907
88,Livingston & Wyoming Counties PUMA,53806,9426,4414,5012,38017,21285,16732,6363,3608,2755
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",46645,14891,4614,10277,27462,14914,12548,4292,2128,2164
90,Cattaraugus & Allegany Counties PUMA,61224,12960,5768,7192,41912,21095,20817,6352,3904,2448
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,60520,11268,4654,6614,44088,22732,21356,5164,2965,2199
92,Orange County (Northwest) PUMA,60796,15808,6787,9021,40360,20843,19517,4628,2995,1633
93,Columbia & Greene Counties PUMA,54814,13938,6180,7758,36947,18740,18207,3929,2349,1580
94,Suffolk County (East) PUMA,61568,25288,12017,13271,33418,17078,16340,2862,1107,1755
95,Monroe County (East) PUMA,66060,32258,14618,17640,32227,14977,17250,1575,1036,539
96,Sullivan & Ulster (West) Counties PUMA,52639,11819,5617,6202,35758,19212,16546,5062,3051,2011
97,Cayuga & Onondaga (South) Counties PUMA,60616,16694,7362,9332,39136,20474,18662,4786,3342,1444
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",44527,3954,828,3126,27504,13963,13541,13069,7521,5548
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,43191,14625,6365,8260,26696,13837,12859,1870,818,1052
100,Onondaga County (Central)--Syracuse City PUMA,54880,13438,6708,6730,32750,14465,18285,8692,4652,4040
101,Ulster County (East) PUMA,70312,22662,9427,13235,41474,22246,19228,6176,3285,2891
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,27476,8788,4562,4226,15233,7497,7736,3455,2154,1301
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,21521,5309,1990,3319,11536,5942,5594,4676,3295,1381
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,52450,16617,7370,9247,31133,16013,15120,4700,2301,2399
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,44139,21469,8528,12941,21241,11154,10087,1429,1017,412
106,Saratoga County (Outer) PUMA,58518,19520,9871,9649,35475,18117,17358,3523,2268,1255
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",72063,57506,30604,26902,12662,8979,3683,1895,338,1557
108,NYC-Brooklyn Community District 4--Bushwick PUMA,44975,16693,7384,9309,20569,10156,10413,7713,4025,3688
109,Suffolk County (Central)--Islip Town (East) PUMA,50121,20022,9047,10975,28013,14411,13602,2086,1455,631
110,Westchester County (Southwest)--Yonkers City PUMA,61046,23991,11267,12724,31989,16502,15487,5066,2289,2777
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,35490,17731,8689,9042,16298,8127,8171,1461,917,544
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",37478,15147,6284,8863,20658,10857,9801,1673,731,942
113,Jefferson & Lewis Counties PUMA,69027,15416,7979,7437,47913,25118,22795,5698,3187,2511
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,47015,16964,7877,9087,28329,15544,12785,1722,1077,645
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,37971,21220,10449,10771,15863,8597,7266,888,404,484
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,36311,5153,1989,3164,22399,8164,14235,8759,3241,5518
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",64261,18634,8743,9891,38830,20648,18182,6797,3385,3412
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,50048,13536,5366,8170,33730,18133,15597,2782,2207,575
119,Monroe County (Central)--Greece & Gates Towns PUMA,61364,18391,8009,10382,40625,20081,20544,2348,1693,655
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,23979,9787,4579,5208,11978,6906,5072,2214,1368,846
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",33045,11786,5353,6433,15985,7221,8764,5274,2702,2572
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35856,19254,8942,10312,14635,7939,6696,1967,1011,956
123,Broome (Outer West) & Tioga Counties PUMA,55283,15460,8212,7248,35596,17127,18469,4227,2216,2011
124,Putnam County PUMA,46539,19859,10092,9767,25493,13266,12227,1187,501,686
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",28878,12241,3875,8366,15431,7154,8277,1206,721,485
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",32761,17438,9356,8082,15048,8041,7007,275,122,153
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,46780,19806,10047,9759,25204,12881,12323,1770,991,779
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,57651,18897,8868,10029,35763,18629,17134,2991,2342,649
129,NYC-Manhattan Community District 10--Central Harlem PUMA,60348,26908,12035,14873,28544,11201,17343,4896,2245,2651
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",25868,4076,852,3224,16147,6851,9296,5645,2086,3559
131,NYC-Manhattan Community District 11--East Harlem PUMA,42875,15205,6402,8803,18593,8734,9859,9077,5509,3568
132,Westchester County (Northwest) PUMA,49313,27365,12636,14729,20043,11365,8678,1905,1296,609
133,Onondaga County (North) PUMA,67205,28235,13630,14605,37119,18097,19022,1851,876,975
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,44507,20353,9121,11232,21353,10693,10660,2801,684,2117
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,52551,18548,7189,11359,25385,11821,13564,8618,3799,4819
136,Genesee & Orleans Counties PUMA,52545,8731,3477,5254,39214,20438,18776,4600,2615,1985
137,Westchester County (Central)--White Plains City PUMA,63411,42722,19304,23418,19022,10317,8705,1667,1131,536
138,Saratoga County (South & Central) PUMA,56516,28056,13613,14443,26975,13053,13922,1485,807,678
139,Monroe County (South) PUMA,78546,45755,22963,22792,30819,14967,15852,1972,506,1466
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,34610,8143,3372,4771,22654,12174,10480,3813,2286,1527
141,St. Lawrence County PUMA,52296,12385,5710,6675,34456,18233,16223,5455,3237,2218
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,40057,18131,8153,9978,21021,11356,9665,905,679,226
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,36634,12224,4533,7691,20932,9563,11369,3478,1595,1883
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",60806,10451,3865,6586,37746,16425,21321,12609,6126,6483
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,54497,24943,12024,12919,28354,14975,13379,1200,716,484
146,Capital Region,531143,174672,80399,94273,322469,163046,159423,34002,19526,14476
147,Central NY,382367,121583,56463,65120,231733,115574,116159,29051,16588,12463
148,Finger Lakes,596274,191693,87900,103793,357321,182108,175213,47260,24304,22956
149,Long Island,1137192,510903,234242,276661,581526,300808,280718,44763,25559,19204
150,Mid-Hudson,905722,393551,180229,213322,455836,236885,218951,56335,31557,24778
151,Mohawk Valley,235588,54175,24159,30016,160874,81970,78904,20539,12359,8180
152,New York City,2489667,1171820,532928,638892,1077078,536456,540622,240769,125994,114775
153,North Country,210462,49953,22623,27330,141788,76756,65032,18721,12097,6624
154,Southern Tier,304278,84442,37063,47379,194894,98885,96009,24942,15336,9606
155,Western NY,689225,205240,95376,109864,438471,221427,217044,45514,24016,21498
