,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,326891,172281,154610,225497,125379,100118,101394,46902,54492,53986,20409,33577,43561,18107,25454,10425,2302,8123,188739,97379,91360,132200,71023,61177,56539,26356,30183,84166,54493,29673,49736,36249,13487,34430,18244,16186
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188,188,0,188,188,0,0,0,0,188,188,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1869,754,1115,1865,754,1111,4,0,4,160,94,66,156,94,62,4,0,4,1709,660,1049,1709,660,1049,0,0,0,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1069,75,994,200,75,125,869,0,869,134,75,59,134,75,59,0,0,0,454,0,454,66,0,66,388,0,388,481,0,481,0,0,0,481,0,481
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,405,125,280,405,125,280,0,0,0,61,61,0,61,61,0,0,0,0,273,64,209,273,64,209,0,0,0,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",235,53,182,89,0,89,146,53,93,89,0,89,89,0,89,0,0,0,93,0,93,0,0,0,93,0,93,53,53,0,0,0,0,53,53,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1501,950,551,1337,950,387,164,0,164,716,479,237,716,479,237,0,0,0,521,207,314,357,207,150,164,0,164,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1761,685,1076,1761,685,1076,0,0,0,672,672,0,672,672,0,0,0,0,63,0,63,63,0,63,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5782,2913,2869,5292,2532,2760,490,381,109,1821,585,1236,1821,585,1236,0,0,0,1888,781,1107,1710,678,1032,178,103,75,2073,1547,526,1761,1269,492,312,278,34
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5156,2763,2393,3560,1829,1731,1596,934,662,411,151,260,305,95,210,106,56,50,3641,1998,1643,2758,1634,1124,883,364,519,1104,614,490,497,100,397,607,514,93
14,Rockland County (North)--New City & Congers PUMA,3362,1735,1627,2850,1459,1391,512,276,236,0,0,0,0,0,0,0,0,0,2452,1321,1131,2136,1241,895,316,80,236,910,414,496,714,218,496,196,196,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4851,2734,2117,2214,1159,1055,2637,1575,1062,241,0,241,151,0,151,90,0,90,2665,1550,1115,1515,899,616,1150,651,499,1945,1184,761,548,260,288,1397,924,473
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3744,2382,1362,2706,1541,1165,1038,841,197,640,407,233,348,275,73,292,132,160,2367,1454,913,1698,822,876,669,632,37,737,521,216,660,444,216,77,77,0
18,Tompkins County PUMA,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0
19,Dutchess County (Southwest) PUMA,1928,958,970,1443,671,772,485,287,198,55,55,0,0,0,0,55,55,0,1439,469,970,1117,345,772,322,124,198,434,434,0,326,326,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10140,4786,5354,8273,4004,4269,1867,782,1085,2632,861,1771,2188,861,1327,444,0,444,6483,3285,3198,5291,2626,2665,1192,659,533,1025,640,385,794,517,277,231,123,108
21,Westchester County (Northwest) PUMA,5995,4041,1954,3094,2550,544,2901,1491,1410,476,429,47,476,429,47,0,0,0,3757,2152,1605,1538,1041,497,2219,1111,1108,1762,1460,302,1080,1080,0,682,380,302
22,Albany County (Outside Albany City) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monroe County (South) PUMA,556,424,132,556,424,132,0,0,0,0,0,0,0,0,0,0,0,0,327,327,0,327,327,0,0,0,0,229,97,132,229,97,132,0,0,0
24,Jefferson & Lewis Counties PUMA,22,0,22,22,0,22,0,0,0,22,0,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",128,0,128,128,0,128,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,0,128,0,0,0,0,0,0,0,0,0,0,0,0
26,Erie County (Central) PUMA,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,25,0,25,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,25,0,25
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8731,5207,3524,6640,4349,2291,2091,858,1233,1933,1098,835,1385,1098,287,548,0,548,3859,2205,1654,3388,2049,1339,471,156,315,2939,1904,1035,1867,1202,665,1072,702,370
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,488,188,300,395,188,207,93,0,93,207,0,207,207,0,207,0,0,0,93,0,93,0,0,0,93,0,93,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3675,1842,1833,2869,1489,1380,806,353,453,694,505,189,683,494,189,11,11,0,2339,1337,1002,1544,995,549,795,342,453,642,0,642,642,0,642,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,257,88,169,257,88,169,0,0,0,88,88,0,88,88,0,0,0,0,169,0,169,169,0,169,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,134,42,92,134,42,92,0,0,0,134,42,92,134,42,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,454,178,276,0,0,0,454,178,276,0,0,0,0,0,0,0,0,0,454,178,276,0,0,0,454,178,276,0,0,0,0,0,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,581,581,0,581,581,0,0,0,0,0,0,0,0,0,0,0,0,0,333,333,0,333,333,0,0,0,0,248,248,0,248,248,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7898,4122,3776,5612,3758,1854,2286,364,1922,1673,738,935,1673,738,935,0,0,0,4329,2548,1781,3246,2327,919,1083,221,862,1896,836,1060,693,693,0,1203,143,1060
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,8643,5469,3174,5860,4069,1791,2783,1400,1383,1095,591,504,1095,591,504,0,0,0,5879,3836,2043,4002,2889,1113,1877,947,930,1669,1042,627,763,589,174,906,453,453
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1384,459,925,1384,459,925,0,0,0,865,143,722,865,143,722,0,0,0,0,0,0,0,0,0,0,0,0,519,316,203,519,316,203,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1492,394,1098,920,75,845,572,319,253,0,0,0,0,0,0,0,0,0,1294,252,1042,920,75,845,374,177,197,198,142,56,0,0,0,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",5803,3037,2766,3966,2389,1577,1837,648,1189,941,176,765,941,176,765,0,0,0,2762,1313,1449,2016,1204,812,746,109,637,2100,1548,552,1009,1009,0,1091,539,552
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,19795,11705,8090,11224,7142,4082,8571,4563,4008,1234,415,819,945,415,530,289,0,289,14831,8341,6490,8291,5102,3189,6540,3239,3301,3730,2949,781,1988,1625,363,1742,1324,418
45,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3892,1872,2020,2911,1570,1341,981,302,679,569,174,395,508,113,395,61,61,0,2615,990,1625,1804,858,946,811,132,679,708,708,0,599,599,0,109,109,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1111,679,432,905,473,432,206,206,0,159,95,64,159,95,64,0,0,0,656,288,368,450,82,368,206,206,0,296,296,0,296,296,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,441,0,441,346,0,346,95,0,95,441,0,441,346,0,346,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2352,828,1524,836,541,295,1516,287,1229,277,0,277,78,0,78,199,0,199,1486,828,658,758,541,217,728,287,441,589,0,589,0,0,0,589,0,589
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,219,135,84,135,135,0,84,0,84,84,0,84,0,0,0,84,0,84,135,135,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3129,1862,1267,2985,1718,1267,144,144,0,459,98,361,459,98,361,0,0,0,1647,1080,567,1503,936,567,144,144,0,1023,684,339,1023,684,339,0,0,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",603,453,150,271,271,0,332,182,150,271,271,0,271,271,0,0,0,0,150,0,150,0,0,0,150,0,150,182,182,0,0,0,0,182,182,0
54,Columbia & Greene Counties PUMA,222,85,137,185,48,137,37,37,0,36,0,36,36,0,36,0,0,0,37,37,0,0,0,0,37,37,0,149,48,101,149,48,101,0,0,0
55,Rensselaer County--Troy City PUMA,59,59,0,36,36,0,23,23,0,23,23,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,350,237,113,237,237,0,113,0,113,237,237,0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,113,0,0,0,113,0,113
57,Erie County (South) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,100,0,100,39,0,39,61,0,61,100,0,100,39,0,39,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",22408,12714,9694,15468,8980,6488,6940,3734,3206,2683,1151,1532,1655,596,1059,1028,555,473,13661,7094,6567,10922,6009,4913,2739,1085,1654,6064,4469,1595,2891,2375,516,3173,2094,1079
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,893,437,456,735,437,298,158,0,158,0,0,0,0,0,0,0,0,0,456,0,456,298,0,298,158,0,158,437,437,0,437,437,0,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,2266,491,1775,768,243,525,1498,248,1250,525,0,525,525,0,525,0,0,0,1036,248,788,0,0,0,1036,248,788,705,243,462,243,243,0,462,0,462
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,2197,1428,769,1616,1045,571,581,383,198,30,0,30,30,0,30,0,0,0,1487,934,553,1131,776,355,356,158,198,680,494,186,455,269,186,225,225,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2173,459,1714,606,86,520,1567,373,1194,317,0,317,84,0,84,233,0,233,1277,289,988,442,86,356,835,203,632,579,170,409,80,0,80,499,170,329
64,Albany County (East Central)--Albany City PUMA,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,2262,1286,976,2203,1227,976,59,59,0,0,0,0,0,0,0,0,0,0,1915,939,976,1856,880,976,59,59,0,347,347,0,347,347,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10219,4651,5568,5969,2534,3435,4250,2117,2133,2342,558,1784,1910,558,1352,432,0,432,6151,3214,2937,3122,1463,1659,3029,1751,1278,1726,879,847,937,513,424,789,366,423
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",9914,4927,4987,6140,3009,3131,3774,1918,1856,2414,1048,1366,1712,814,898,702,234,468,4912,2516,2396,3318,1541,1777,1594,975,619,2588,1363,1225,1110,654,456,1478,709,769
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",6580,2410,4170,4892,1630,3262,1688,780,908,1119,230,889,988,230,758,131,0,131,3756,1487,2269,2988,1257,1731,768,230,538,1705,693,1012,916,143,773,789,550,239
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,3001,1165,1836,2180,648,1532,821,517,304,517,0,517,517,0,517,0,0,0,1614,657,957,1019,140,879,595,517,78,870,508,362,644,508,136,226,0,226
72,Orange County (Southeast) PUMA,1176,635,541,542,348,194,634,287,347,347,0,347,0,0,0,347,0,347,679,485,194,392,198,194,287,287,0,150,150,0,150,150,0,0,0,0
73,Westchester County (Southeast) PUMA,4547,2581,1966,4260,2340,1920,287,241,46,991,241,750,750,0,750,241,241,0,1551,555,996,1551,555,996,0,0,0,2005,1785,220,1959,1785,174,46,0,46
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,5262,3248,2014,3955,2247,1708,1307,1001,306,1173,854,319,1039,720,319,134,134,0,2412,1242,1170,1653,537,1116,759,705,54,1677,1152,525,1263,990,273,414,162,252
75,Livingston & Wyoming Counties PUMA,137,137,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,31,0,0,0,0,106,106,0,106,106,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,520,333,187,520,333,187,0,0,0,0,0,0,0,0,0,0,0,0,332,256,76,332,256,76,0,0,0,188,77,111,188,77,111,0,0,0
