,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,857286,418395,438891,609513,312601,296912,247773,105794,141979,215835,92708,123127,194781,84443,110338,21054,8265,12789,494391,247725,246666,350426,188882,161544,143965,58843,85122,147060,77962,69098,64306,39276,25030,82754,38686,44068
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7187,4054,3133,5622,3310,2312,1565,744,821,2187,1265,922,2187,1265,922,0,0,0,3815,2450,1365,3110,2045,1065,705,405,300,1185,339,846,325,0,325,860,339,521
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,6447,3044,3403,5736,2640,3096,711,404,307,3098,1680,1418,3029,1680,1349,69,0,69,2915,1331,1584,2431,927,1504,484,404,80,434,33,401,276,33,243,158,0,158
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7321,4589,2732,5229,3000,2229,2092,1589,503,2410,1364,1046,2410,1364,1046,0,0,0,3239,2188,1051,2124,1375,749,1115,813,302,1672,1037,635,695,261,434,977,776,201
4,Madison & Cortland Counties PUMA,1141,718,423,1039,616,423,102,102,0,444,152,292,444,152,292,0,0,0,552,421,131,453,322,131,99,99,0,145,145,0,142,142,0,3,3,0
5,Ontario & Yates Counties PUMA,2251,1470,781,1446,834,612,805,636,169,518,332,186,518,332,186,0,0,0,1529,1068,461,928,502,426,601,566,35,204,70,134,0,0,0,204,70,134
6,Monroe County (Central)--Greece & Gates Towns PUMA,3303,1956,1347,2324,1956,368,979,0,979,603,0,603,112,0,112,491,0,491,2368,1811,557,2067,1811,256,301,0,301,332,145,187,145,145,0,187,0,187
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2055,1200,855,2055,1200,855,0,0,0,564,235,329,564,235,329,0,0,0,809,669,140,809,669,140,0,0,0,682,296,386,682,296,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",866,343,523,641,337,304,225,6,219,81,75,6,75,75,0,6,0,6,785,268,517,566,262,304,219,6,213,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,5693,2917,2776,4889,2748,2141,804,169,635,3758,2013,1745,3589,1844,1745,169,169,0,1873,904,969,1300,904,396,573,0,573,62,0,62,0,0,0,62,0,62
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4760,2547,2213,3662,1836,1826,1098,711,387,1054,457,597,1054,457,597,0,0,0,2651,1035,1616,2264,1035,1229,387,0,387,1055,1055,0,344,344,0,711,711,0
11,Erie County (Northwest) PUMA,1756,696,1060,952,296,656,804,400,404,323,0,323,323,0,323,0,0,0,1174,519,655,629,296,333,545,223,322,259,177,82,0,0,0,259,177,82
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5520,2396,3124,4116,2273,1843,1404,123,1281,1845,1180,665,1728,1141,587,117,39,78,2792,1216,1576,1986,1132,854,806,84,722,883,0,883,402,0,402,481,0,481
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12019,5067,6952,7236,2925,4311,4783,2142,2641,2131,813,1318,1592,598,994,539,215,324,7623,3222,4401,5084,2084,3000,2539,1138,1401,2265,1032,1233,560,243,317,1705,789,916
14,Rockland County (North)--New City & Congers PUMA,5185,2812,2373,4337,2508,1829,848,304,544,1065,497,568,1065,497,568,0,0,0,3782,2161,1621,3014,1937,1077,768,224,544,338,154,184,258,74,184,80,80,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1021,589,432,772,589,183,249,0,249,203,72,131,185,72,113,18,0,18,554,484,70,554,484,70,0,0,0,264,33,231,33,33,0,231,0,231
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,9241,4880,4361,5812,3184,2628,3429,1696,1733,2620,1016,1604,2320,896,1424,300,120,180,3837,2035,1802,2671,1915,756,1166,120,1046,2784,1829,955,821,373,448,1963,1456,507
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4419,1857,2562,3377,1167,2210,1042,690,352,1500,178,1322,1453,178,1275,47,0,47,2386,1349,1037,1794,989,805,592,360,232,533,330,203,130,0,130,403,330,73
18,Tompkins County PUMA,1706,746,960,1356,594,762,350,152,198,772,329,443,683,329,354,89,0,89,934,417,517,673,265,408,261,152,109,0,0,0,0,0,0,0,0,0
19,Dutchess County (Southwest) PUMA,7707,3357,4350,7037,3221,3816,670,136,534,1721,343,1378,1669,343,1326,52,0,52,4261,2396,1865,3966,2299,1667,295,97,198,1725,618,1107,1402,579,823,323,39,284
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,16209,7604,8605,11757,6107,5650,4452,1497,2955,4114,1789,2325,3228,1430,1798,886,359,527,11036,5122,5914,7678,3984,3694,3358,1138,2220,1059,693,366,851,693,158,208,0,208
21,Westchester County (Northwest) PUMA,7979,3763,4216,6140,2865,3275,1839,898,941,2732,734,1998,2732,734,1998,0,0,0,4651,2628,2023,3182,1905,1277,1469,723,746,596,401,195,226,226,0,370,175,195
22,Albany County (Outside Albany City) PUMA,3236,1635,1601,1792,678,1114,1444,957,487,1136,244,892,996,104,892,140,140,0,1571,862,709,706,484,222,865,378,487,529,529,0,90,90,0,439,439,0
23,Monroe County (South) PUMA,1432,686,746,1290,686,604,142,0,142,749,303,446,642,303,339,107,0,107,683,383,300,648,383,265,35,0,35,0,0,0,0,0,0,0,0,0
24,Jefferson & Lewis Counties PUMA,1873,1235,638,1208,1034,174,665,201,464,275,83,192,155,64,91,120,19,101,1598,1152,446,1053,970,83,545,182,363,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",991,755,236,358,160,198,633,595,38,222,112,110,196,86,110,26,26,0,428,340,88,142,54,88,286,286,0,341,303,38,20,20,0,321,283,38
26,Erie County (Central) PUMA,1731,916,815,1014,524,490,717,392,325,434,306,128,187,133,54,247,173,74,1246,559,687,827,391,436,419,168,251,51,51,0,0,0,0,51,51,0
27,St. Lawrence County PUMA,277,208,69,217,148,69,60,60,0,144,108,36,144,108,36,0,0,0,133,100,33,73,40,33,60,60,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9106,4029,5077,5346,2520,2826,3760,1509,2251,3219,1812,1407,2412,1137,1275,807,675,132,3951,1319,2632,1954,586,1368,1997,733,1264,1936,898,1038,980,797,183,956,101,855
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2194,984,1210,2065,984,1081,129,0,129,764,206,558,764,206,558,0,0,0,1430,778,652,1301,778,523,129,0,129,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,11929,6388,5541,8566,4737,3829,3363,1651,1712,4361,2101,2260,4140,2101,2039,221,0,221,6411,3376,3035,4158,2463,1695,2253,913,1340,1157,911,246,268,173,95,889,738,151
31,Cayuga & Onondaga (South) Counties PUMA,588,452,136,484,367,117,104,85,19,19,0,19,0,0,0,19,0,19,484,367,117,484,367,117,0,0,0,85,85,0,0,0,0,85,85,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2956,1362,1594,2859,1265,1594,97,97,0,1454,753,701,1454,753,701,0,0,0,1406,609,797,1309,512,797,97,97,0,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,3629,1747,1882,1315,954,361,2314,793,1521,293,64,229,163,64,99,130,0,130,2282,1204,1078,603,474,129,1679,730,949,1054,479,575,549,416,133,505,63,442
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1453,386,1067,1332,386,946,121,0,121,357,241,116,357,241,116,0,0,0,754,145,609,633,145,488,121,0,121,342,0,342,342,0,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8179,3876,4303,6499,2899,3600,1680,977,703,1117,52,1065,881,52,829,236,0,236,6047,3222,2825,4732,2374,2358,1315,848,467,1015,602,413,886,473,413,129,129,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,845,360,485,430,279,151,415,81,334,99,0,99,99,0,99,0,0,0,550,258,292,229,177,52,321,81,240,196,102,94,102,102,0,94,0,94
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6909,3705,3204,6463,3564,2899,446,141,305,1170,700,470,1170,700,470,0,0,0,5441,2707,2734,4995,2566,2429,446,141,305,298,298,0,298,298,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19603,8580,11023,11856,6676,5180,7747,1904,5843,2515,929,1586,2109,929,1180,406,0,406,11856,4995,6861,7563,4116,3447,4293,879,3414,5232,2656,2576,2184,1631,553,3048,1025,2023
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,3892,1837,2055,2503,1484,1019,1389,353,1036,1132,633,499,916,633,283,216,0,216,2096,1204,892,1276,851,425,820,353,467,664,0,664,311,0,311,353,0,353
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5861,2819,3042,4108,2395,1713,1753,424,1329,2483,1298,1185,2379,1194,1185,104,104,0,2766,1172,1594,1243,864,379,1523,308,1215,612,349,263,486,337,149,126,12,114
41,Suffolk County (Central)--Islip Town (East) PUMA,3044,1096,1948,3044,1096,1948,0,0,0,780,386,394,780,386,394,0,0,0,1910,535,1375,1910,535,1375,0,0,0,354,175,179,354,175,179,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2870,1827,1043,2569,1742,827,301,85,216,557,312,245,557,312,245,0,0,0,1891,1169,722,1751,1169,582,140,0,140,422,346,76,261,261,0,161,85,76
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4640,2078,2562,3843,1384,2459,797,694,103,1365,784,581,1169,588,581,196,196,0,2895,980,1915,2406,576,1830,489,404,85,380,314,66,268,220,48,112,94,18
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,8557,4671,3886,6869,4083,2786,1688,588,1100,2424,1519,905,2140,1235,905,284,284,0,5053,2174,2879,3891,2112,1779,1162,62,1100,1080,978,102,838,736,102,242,242,0
45,Saratoga County (Outer) PUMA,912,765,147,912,765,147,0,0,0,256,208,48,256,208,48,0,0,0,656,557,99,656,557,99,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",8964,3755,5209,4349,1989,2360,4615,1766,2849,1519,577,942,869,269,600,650,308,342,5607,2096,3511,3026,1426,1600,2581,670,1911,1838,1082,756,454,294,160,1384,788,596
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3606,1473,2133,3033,1148,1885,573,325,248,841,307,534,841,307,534,0,0,0,2078,817,1261,1915,654,1261,163,163,0,687,349,338,277,187,90,410,162,248
48,Wayne & Seneca Counties PUMA,1761,1015,746,982,516,466,779,499,280,529,295,234,483,281,202,46,14,32,986,519,467,389,125,264,597,394,203,246,201,45,110,110,0,136,91,45
49,Schenectady County--Schenectady City PUMA,2359,1510,849,1514,1238,276,845,272,573,158,158,0,158,158,0,0,0,0,1891,1042,849,1220,944,276,671,98,573,310,310,0,136,136,0,174,174,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,5640,2793,2847,4984,2369,2615,656,424,232,2692,1316,1376,2481,1199,1282,211,117,94,2335,1039,1296,2041,883,1158,294,156,138,613,438,175,462,287,175,151,151,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2578,1255,1323,2433,1110,1323,145,145,0,743,215,528,743,215,528,0,0,0,1728,933,795,1690,895,795,38,38,0,107,107,0,0,0,0,107,107,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8071,5012,3059,6204,3624,2580,1867,1388,479,2392,1267,1125,2392,1267,1125,0,0,0,4536,2695,1841,3040,1664,1376,1496,1031,465,1143,1050,93,772,693,79,371,357,14
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7817,3796,4021,6050,3384,2666,1767,412,1355,3465,1585,1880,3129,1300,1829,336,285,51,3319,1892,1427,2483,1765,718,836,127,709,1033,319,714,438,319,119,595,0,595
54,Columbia & Greene Counties PUMA,724,134,590,364,84,280,360,50,310,178,0,178,82,0,82,96,0,96,496,84,412,282,84,198,214,0,214,50,50,0,0,0,0,50,50,0
55,Rensselaer County--Troy City PUMA,2710,1073,1637,1890,1047,843,820,26,794,118,0,118,118,0,118,0,0,0,1577,987,590,1379,961,418,198,26,172,1015,86,929,393,86,307,622,0,622
56,Erie County (West Central)--Buffalo City (West) PUMA,8664,4658,4006,4981,3363,1618,3683,1295,2388,1093,540,553,817,439,378,276,101,175,5234,2937,2297,3791,2551,1240,1443,386,1057,2337,1181,1156,373,373,0,1964,808,1156
57,Erie County (South) PUMA,704,190,514,494,118,376,210,72,138,209,118,91,164,118,46,45,0,45,449,72,377,284,0,284,165,72,93,46,0,46,46,0,46,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3805,2000,1805,603,247,356,3202,1753,1449,786,204,582,115,115,0,671,89,582,1936,917,1019,488,132,356,1448,785,663,1083,879,204,0,0,0,1083,879,204
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",25396,12312,13084,18241,9540,8701,7155,2772,4383,6694,2753,3941,6108,2510,3598,586,243,343,13914,7392,6522,10788,5920,4868,3126,1472,1654,4788,2167,2621,1345,1110,235,3443,1057,2386
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,7267,3728,3539,5802,3101,2701,1465,627,838,2842,968,1874,1866,593,1273,976,375,601,2882,1573,1309,2782,1473,1309,100,100,0,1543,1187,356,1154,1035,119,389,152,237
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11428,6507,4921,7178,3718,3460,4250,2789,1461,2234,1332,902,1911,1009,902,323,323,0,5865,2700,3165,3452,1035,2417,2413,1665,748,3329,2475,854,1815,1674,141,1514,801,713
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,3244,1237,2007,2262,854,1408,982,383,599,896,200,696,832,200,632,64,0,64,2063,943,1120,1145,560,585,918,383,535,285,94,191,285,94,191,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,8384,4942,3442,4233,2013,2220,4151,2929,1222,744,402,342,516,174,342,228,228,0,4479,2509,1970,2882,1461,1421,1597,1048,549,3161,2031,1130,835,378,457,2326,1653,673
64,Albany County (East Central)--Albany City PUMA,3300,1949,1351,2410,1496,914,890,453,437,790,325,465,790,325,465,0,0,0,2290,1448,842,1576,1171,405,714,277,437,220,176,44,44,0,44,176,176,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,3335,2192,1143,3192,2095,1097,143,97,46,1180,481,699,1180,481,699,0,0,0,2155,1711,444,2012,1614,398,143,97,46,0,0,0,0,0,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1435,710,725,352,352,0,1083,358,725,0,0,0,0,0,0,0,0,0,1074,710,364,352,352,0,722,358,364,361,0,361,0,0,0,361,0,361
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",26553,11225,15328,11546,5749,5797,15007,5476,9531,2403,928,1475,1881,826,1055,522,102,420,14433,6130,8303,7239,3648,3591,7194,2482,4712,9717,4167,5550,2426,1275,1151,7291,2892,4399
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14743,6773,7970,8041,4030,4011,6702,2743,3959,3118,1062,2056,2405,1062,1343,713,0,713,7642,3174,4468,4246,1898,2348,3396,1276,2120,3983,2537,1446,1390,1070,320,2593,1467,1126
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",13619,6765,6854,10988,5812,5176,2631,953,1678,4051,1700,2351,3895,1583,2312,156,117,39,7743,3866,3877,6181,3407,2774,1562,459,1103,1825,1199,626,912,822,90,913,377,536
70,Erie County (Northeast) PUMA,457,400,57,400,400,0,57,0,57,224,224,0,224,224,0,0,0,0,233,176,57,176,176,0,57,0,57,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,18892,7361,11531,10699,4417,6282,8193,2944,5249,4879,1663,3216,4276,1509,2767,603,154,449,10088,4076,6012,4951,2256,2695,5137,1820,3317,3925,1622,2303,1472,652,820,2453,970,1483
72,Orange County (Southeast) PUMA,7826,4089,3737,7367,3930,3437,459,159,300,1461,563,898,1461,563,898,0,0,0,6134,3295,2839,5675,3136,2539,459,159,300,231,231,0,231,231,0,0,0,0
73,Westchester County (Southeast) PUMA,3290,1504,1786,2812,1504,1308,478,0,478,1875,782,1093,1875,782,1093,0,0,0,1415,722,693,937,722,215,478,0,478,0,0,0,0,0,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10623,5275,5348,8307,4207,4100,2316,1068,1248,4184,1803,2381,3528,1364,2164,656,439,217,4956,2694,2262,3741,2065,1676,1215,629,586,1483,778,705,1038,778,260,445,0,445
75,Livingston & Wyoming Counties PUMA,424,393,31,176,165,11,248,228,20,91,80,11,91,80,11,0,0,0,125,105,20,33,33,0,92,72,20,208,208,0,52,52,0,156,156,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,5041,2519,2522,3754,1796,1958,1287,723,564,745,288,457,745,288,457,0,0,0,3572,1709,1863,2807,1508,1299,765,201,564,724,522,202,202,0,202,522,522,0
