,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,228504,59742,27798,31944,121007,62989,58018,47755,29836,17919
1,Westchester County (Southwest)--Yonkers City PUMA,6269,1230,484,746,3598,1838,1760,1441,838,603
2,St. Lawrence County PUMA,107,34,8,26,54,27,27,19,19,0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3960,1087,367,720,2380,1131,1249,493,372,121
4,Erie County (Central) PUMA,149,39,24,15,98,67,31,12,12,0
5,Monroe County (South) PUMA,280,93,42,51,136,31,105,51,51,0
6,Onondaga County (North) PUMA,110,47,0,47,63,36,27,0,0,0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2970,529,167,362,1891,982,909,550,256,294
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",197,2,0,2,140,91,49,55,55,0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1300,232,93,139,794,417,377,274,103,171
10,Suffolk County (Northwest)--Smithtown Town PUMA,532,148,55,93,370,307,63,14,14,0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",786,185,46,139,546,295,251,55,15,40
12,Dutchess County (Southwest) PUMA,1751,420,190,230,924,445,479,407,236,171
13,Ulster County (East) PUMA,842,191,60,131,476,334,142,175,86,89
14,Orange County (Northwest) PUMA,790,153,47,106,559,309,250,78,66,12
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1425,450,237,213,778,506,272,197,159,38
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1435,1316,680,636,119,32,87,0,0,0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",698,58,44,14,327,141,186,313,223,90
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3709,484,201,283,2355,1123,1232,870,552,318
19,Monroe County (Central)--Greece & Gates Towns PUMA,210,64,33,31,124,89,35,22,22,0
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3833,1102,302,800,1624,930,694,1107,720,387
21,Orange County (Northeast)--Greater Newburgh City PUMA,1120,323,64,259,493,235,258,304,220,84
22,Suffolk County (East) PUMA,5909,745,628,117,4059,2224,1835,1105,760,345
23,Tompkins County PUMA,283,231,160,71,52,0,52,0,0,0
24,Monroe County (Central)--Rochester City (East) PUMA,495,39,0,39,315,122,193,141,74,67
25,Ontario & Yates Counties PUMA,182,0,0,0,59,59,0,123,61,62
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1948,269,147,122,1171,668,503,508,314,194
27,Chautauqua County PUMA,188,7,0,7,181,5,176,0,0,0
28,Genesee & Orleans Counties PUMA,192,16,16,0,101,79,22,75,71,4
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",961,318,218,100,467,161,306,176,121,55
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,38,12,12,0,0,0,0,26,16,10
31,Westchester County (Central)--White Plains City PUMA,4890,1508,449,1059,2477,1315,1162,905,685,220
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1647,384,198,186,885,440,445,378,217,161
33,Cattaraugus & Allegany Counties PUMA,4,0,0,0,4,0,4,0,0,0
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2240,657,351,306,1040,549,491,543,302,241
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,1986,483,334,149,837,439,398,666,453,213
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2700,1237,727,510,1005,418,587,458,220,238
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1140,261,93,168,646,299,347,233,104,129
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1096,759,407,352,257,117,140,80,52,28
39,Livingston & Wyoming Counties PUMA,163,4,4,0,36,0,36,123,104,19
40,Albany County (Outside Albany City) PUMA,293,92,55,37,155,94,61,46,16,30
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1128,360,80,280,656,463,193,112,32,80
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,708,246,67,179,283,138,145,179,93,86
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1486,543,127,416,780,317,463,163,21,142
44,Erie County (South) PUMA,106,84,17,67,22,0,22,0,0,0
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2620,2124,956,1168,403,209,194,93,49,44
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2077,423,254,169,1295,701,594,359,233,126
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,995,206,59,147,533,236,297,256,113,143
48,Dutchess County (North & East) PUMA,867,97,42,55,573,316,257,197,111,86
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,327,71,22,49,171,124,47,85,52,33
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2900,638,399,239,1363,597,766,899,646,253
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1532,340,188,152,762,476,286,430,256,174
52,Warren & Washington Counties PUMA,35,10,0,10,15,0,15,10,10,0
53,Oswego County PUMA,59,29,20,9,30,15,15,0,0,0
54,Erie County (Northeast) PUMA,64,48,48,0,16,2,14,0,0,0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,27,13,13,0,14,5,9,0,0,0
56,Saratoga County (South & Central) PUMA,243,139,93,46,87,41,46,17,17,0
57,Columbia & Greene Counties PUMA,262,71,35,36,88,69,19,103,103,0
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2782,930,478,452,1675,935,740,177,24,153
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,3957,1589,800,789,2217,1108,1109,151,57,94
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1729,419,273,146,979,410,569,331,105,226
61,Erie County (North Central) PUMA,319,287,65,222,32,32,0,0,0,0
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,636,129,95,34,290,96,194,217,111,106
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1514,272,73,199,1009,738,271,233,147,86
64,Madison & Cortland Counties PUMA,27,24,0,24,0,0,0,3,0,3
65,Westchester County (Northwest) PUMA,2010,571,198,373,990,408,582,449,349,100
66,NYC-Brooklyn Community District 4--Bushwick PUMA,3447,571,324,247,1519,883,636,1357,949,408
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",816,292,80,212,263,181,82,261,114,147
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",5845,2148,1023,1125,2484,1263,1221,1213,907,306
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,686,431,186,245,163,111,52,92,35,57
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1533,131,39,92,693,375,318,709,355,354
71,Suffolk County (Central)--Islip Town (East) PUMA,672,218,105,113,362,99,263,92,18,74
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,1007,301,191,110,509,251,258,197,105,92
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1261,283,124,159,754,502,252,224,109,115
74,Erie County (West Central)--Buffalo City (East) PUMA,92,25,0,25,54,24,30,13,0,13
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1054,331,135,196,536,183,353,187,79,108
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,50,0,0,0,25,0,25,25,13,12
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1913,1612,871,741,269,122,147,32,13,19
78,Jefferson & Lewis Counties PUMA,409,133,130,3,239,69,170,37,31,6
79,Fulton & Montgomery Counties PUMA,150,22,22,0,59,8,51,69,62,7
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1771,685,271,414,882,295,587,204,137,67
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,386,264,132,132,107,56,51,15,15,0
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,11863,1849,908,941,7013,3281,3732,3001,2049,952
83,Monroe County (North & West) PUMA,78,37,37,0,41,41,0,0,0,0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5560,497,179,318,3760,2040,1720,1303,622,681
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",80,48,34,14,32,18,14,0,0,0
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,746,125,70,55,416,238,178,205,113,92
87,NYC-Manhattan Community District 8--Upper East Side PUMA,3262,2381,819,1562,791,287,504,90,41,49
88,"Chenango, Delaware & Broome (East) Counties PUMA",71,22,10,12,31,13,18,18,18,0
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",6962,1303,481,822,4343,2027,2316,1316,874,442
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,934,255,109,146,625,245,380,54,29,25
91,Monroe County (Central)--Rochester City (West) PUMA,197,111,54,57,86,26,60,0,0,0
92,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0,0
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,9015,1456,869,587,4854,2989,1865,2705,1887,818
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",112,75,0,75,35,0,35,2,2,0
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,7554,604,311,293,4264,2422,1842,2686,1905,781
96,Rensselaer County--Troy City PUMA,175,26,0,26,119,119,0,30,30,0
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1475,320,188,132,889,495,394,266,69,197
98,Erie County (West Central)--Buffalo City (West) PUMA,286,155,86,69,64,33,31,67,56,11
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4149,507,160,347,2605,1250,1355,1037,729,308
100,Cayuga & Onondaga (South) Counties PUMA,171,73,48,25,46,33,13,52,0,52
101,Sullivan & Ulster (West) Counties PUMA,660,131,81,50,257,166,91,272,272,0
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,210,156,76,80,54,43,11,0,0,0
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",108,0,0,0,53,43,10,55,55,0
104,Rockland County (North)--New City & Congers PUMA,1359,325,114,211,625,387,238,409,212,197
105,Saratoga County (Outer) PUMA,250,168,68,100,66,29,37,16,16,0
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2405,384,212,172,1093,562,531,928,569,359
107,Putnam County PUMA,1432,420,172,248,632,480,152,380,177,203
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,1388,194,114,80,638,310,328,556,450,106
109,Orange County (Southeast) PUMA,823,201,108,93,559,315,244,63,6,57
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,300,135,81,54,114,49,65,51,42,9
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1159,146,86,60,665,280,385,348,290,58
112,Monroe County (East) PUMA,247,155,93,62,92,11,81,0,0,0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,981,327,170,157,470,151,319,184,65,119
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1711,483,243,240,1062,601,461,166,57,109
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1862,347,136,211,1338,667,671,177,109,68
116,Wayne & Seneca Counties PUMA,202,96,39,57,106,56,50,0,0,0
117,Schenectady County--Schenectady City PUMA,298,113,31,82,121,61,60,64,37,27
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",247,98,53,45,84,26,58,65,65,0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3072,2099,1662,437,816,402,414,157,124,33
120,Westchester County (Northeast) PUMA,1852,699,222,477,457,211,246,696,476,220
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1176,418,230,188,687,382,305,71,61,10
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,5916,1283,536,747,3717,1983,1734,916,574,342
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",904,364,162,202,450,229,221,90,20,70
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2064,219,15,204,1309,783,526,536,264,272
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6067,1329,579,750,3820,1832,1988,918,493,425
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,900,124,33,91,545,282,263,231,139,92
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1670,428,256,172,853,427,426,389,169,220
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,599,207,119,88,301,118,183,91,91,0
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,5280,1721,767,954,2425,1295,1130,1134,643,491
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1104,338,119,219,642,278,364,124,95,29
131,Westchester County (Southeast) PUMA,3543,785,317,468,1581,797,784,1177,765,412
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",930,96,49,47,702,475,227,132,42,90
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,2447,176,85,91,1611,1000,611,660,480,180
134,Onondaga County (Central)--Syracuse City PUMA,741,285,158,127,382,208,174,74,12,62
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2277,175,77,98,1338,764,574,764,421,343
136,Suffolk County (Southwest)--Islip Town (South) PUMA,997,237,88,149,612,389,223,148,79,69
137,Niagara County (North & East) PUMA,230,122,42,80,108,17,91,0,0,0
138,NYC-Manhattan Community District 11--East Harlem PUMA,1734,504,137,367,749,400,349,481,261,220
139,Broome (Outer West) & Tioga Counties PUMA,77,48,32,16,29,29,0,0,0,0
140,Albany County (East Central)--Albany City PUMA,422,155,67,88,190,110,80,77,77,0
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,2315,603,303,300,1547,911,636,165,113,52
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,1903,383,151,232,1290,674,616,230,165,65
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1282,309,141,168,800,442,358,173,134,39
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,640,317,162,155,171,60,111,152,31,121
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1700,276,71,205,1035,484,551,389,201,188
146,Capital Region,1978,774,349,425,841,523,318,363,306,57
147,Central NY,1408,593,307,286,635,341,294,180,54,126
148,Finger Lakes,2246,615,318,297,1096,514,582,535,383,152
149,Long Island,49193,8618,4200,4418,29341,15832,13509,11234,7179,4055
150,Mid-Hudson,34016,8594,3016,5578,16753,8947,7806,8669,5623,3046
151,Mohawk Valley,616,181,57,124,279,137,142,156,116,40
152,New York City,136087,38914,18807,20107,70827,36225,34602,26346,15955,10391
153,North Country,713,169,138,31,433,187,246,111,105,6
154,Southern Tier,759,517,324,193,198,103,95,44,34,10
155,Western NY,1488,767,282,485,604,180,424,117,81,36
