,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,5369141,2341282,1093763,1247519,2770545,1422767,1347778,257314,150370,106944
1,Westchester County (Southwest)--Yonkers City PUMA,31862,15125,6905,8220,15623,8314,7309,1114,527,587
2,St. Lawrence County PUMA,49251,11851,5443,6408,32818,16800,16018,4582,2564,2018
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",24293,10749,5356,5393,12364,6628,5736,1180,702,478
4,Erie County (Central) PUMA,68389,18115,8210,9905,47333,24409,22924,2941,1608,1333
5,Monroe County (South) PUMA,70629,41445,19694,21751,27619,13973,13646,1565,1006,559
6,Onondaga County (North) PUMA,61627,23539,11158,12381,36109,17585,18524,1979,1246,733
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2023,492,275,217,1118,525,593,413,221,192
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",79716,18522,7679,10843,54160,28362,25798,7034,4477,2557
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,38616,13235,6121,7114,23773,12055,11718,1608,884,724
10,Suffolk County (Northwest)--Smithtown Town PUMA,50656,26574,12586,13988,23314,11825,11489,768,521,247
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3922,1576,779,797,1930,874,1056,416,258,158
12,Dutchess County (Southwest) PUMA,55717,21229,9949,11280,31865,16791,15074,2623,1475,1148
13,Ulster County (East) PUMA,62453,20864,9485,11379,38103,19192,18911,3486,1877,1609
14,Orange County (Northwest) PUMA,41211,11445,4974,6471,27128,14058,13070,2638,1572,1066
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",9493,3023,1438,1585,5427,2888,2539,1043,538,505
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",61475,55196,27637,27559,6110,3497,2613,169,74,95
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",32300,9947,5143,4804,18311,8522,9789,4042,2708,1334
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",30642,12433,5044,7389,16516,9172,7344,1693,888,805
19,Monroe County (Central)--Greece & Gates Towns PUMA,53342,16376,7248,9128,34718,16945,17773,2248,1331,917
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,35774,23276,11209,12067,11744,6221,5523,754,471,283
21,Orange County (Northeast)--Greater Newburgh City PUMA,36946,12501,5465,7036,22916,11615,11301,1529,889,640
22,Suffolk County (East) PUMA,49641,21369,9903,11466,26732,13093,13639,1540,961,579
23,Tompkins County PUMA,36422,18228,8394,9834,16456,7856,8600,1738,1179,559
24,Monroe County (Central)--Rochester City (East) PUMA,26887,12777,6829,5948,12517,7007,5510,1593,1024,569
25,Ontario & Yates Counties PUMA,62088,20248,9084,11164,36624,18272,18352,5216,3091,2125
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2549,887,491,396,1160,672,488,502,296,206
27,Chautauqua County PUMA,59043,13069,5679,7390,40966,20757,20209,5008,3021,1987
28,Genesee & Orleans Counties PUMA,48113,9762,4101,5661,34639,17608,17031,3712,2209,1503
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21266,8571,4111,4460,11804,6206,5598,891,525,366
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,46519,15174,7181,7993,28045,14153,13892,3300,1690,1610
31,Westchester County (Central)--White Plains City PUMA,43910,32889,15443,17446,10397,5621,4776,624,442,182
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,30397,23832,11460,12372,6172,2998,3174,393,220,173
33,Cattaraugus & Allegany Counties PUMA,58007,11443,4997,6446,40812,20729,20083,5752,3265,2487
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,48375,30487,15831,14656,14805,8040,6765,3083,1722,1361
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,38241,24434,11476,12958,13372,6902,6470,435,242,193
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17683,15409,7552,7857,2226,1159,1067,48,23,25
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,25887,14529,6600,7929,10541,5945,4596,817,472,345
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",45003,38869,18468,20401,5622,3363,2259,512,282,230
39,Livingston & Wyoming Counties PUMA,49560,10537,4554,5983,35186,18703,16483,3837,2189,1648
40,Albany County (Outside Albany City) PUMA,86633,36652,17297,19355,46873,23315,23558,3108,1726,1382
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,30255,24634,13576,11058,5026,2815,2211,595,380,215
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,37450,25588,12295,13293,11224,5917,5307,638,265,373
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",21059,11121,5159,5962,9668,5011,4657,270,182,88
44,Erie County (South) PUMA,84825,29653,13187,16466,52383,27406,24977,2789,1579,1210
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,67847,61537,27697,33840,6179,3425,2754,131,90,41
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1493,342,177,165,865,520,345,286,175,111
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,14004,7781,3871,3910,5141,2683,2458,1082,671,411
48,Dutchess County (North & East) PUMA,53617,19908,8937,10971,30694,15630,15064,3015,1958,1057
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,61055,17971,8478,9493,39052,19719,19333,4032,2319,1713
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16113,11655,5091,6564,3762,2217,1545,696,354,342
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1165,282,154,128,596,335,261,287,229,58
52,Warren & Washington Counties PUMA,63270,14856,5926,8930,43514,22309,21205,4900,3238,1662
53,Oswego County PUMA,59582,10869,4652,6217,41999,21594,20405,6714,3963,2751
54,Erie County (Northeast) PUMA,54169,21036,9636,11400,31755,16090,15665,1378,964,414
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,57141,12504,4923,7581,40157,21137,19020,4480,2647,1833
56,Saratoga County (South & Central) PUMA,51296,24832,11656,13176,24841,12660,12181,1623,895,728
57,Columbia & Greene Counties PUMA,49670,12882,5598,7284,32743,16617,16126,4045,2489,1556
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",15106,8886,4130,4756,5739,3052,2687,481,250,231
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,16884,12007,5905,6102,4483,2524,1959,394,194,200
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,13146,4213,1640,2573,7683,4185,3498,1250,783,467
61,Erie County (North Central) PUMA,45948,26896,12653,14243,18238,8936,9302,814,444,370
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1019,380,184,196,475,279,196,164,96,68
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,35497,11746,4963,6783,21846,11021,10825,1905,1123,782
64,Madison & Cortland Counties PUMA,55853,15527,6820,8707,36190,18532,17658,4136,2469,1667
65,Westchester County (Northwest) PUMA,40811,25000,11567,13433,14898,7895,7003,913,591,322
66,NYC-Brooklyn Community District 4--Bushwick PUMA,12193,9008,4710,4298,2842,1823,1019,343,267,76
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",33092,18843,9198,9645,13142,6695,6447,1107,446,661
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",21488,17366,8442,8924,3848,2382,1466,274,154,120
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,36985,31353,15430,15923,5076,3242,1834,556,292,264
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",16640,8048,3851,4197,7465,4277,3188,1127,505,622
71,Suffolk County (Central)--Islip Town (East) PUMA,43463,17471,7868,9603,24744,12730,12014,1248,789,459
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,20105,12242,5532,6710,7089,3671,3418,774,502,272
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",930,458,245,213,397,274,123,75,42,33
74,Erie County (West Central)--Buffalo City (East) PUMA,27683,6081,2862,3219,19031,9976,9055,2571,1415,1156
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,33353,18059,8395,9664,14714,7569,7145,580,346,234
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,46468,11536,5510,6026,31873,15793,16080,3059,1668,1391
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",55313,49381,23531,25850,5750,3101,2649,182,25,157
78,Jefferson & Lewis Counties PUMA,61816,12680,5873,6807,44320,22990,21330,4816,2837,1979
79,Fulton & Montgomery Counties PUMA,47978,8816,3681,5135,33735,16988,16747,5427,3190,2237
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12645,8693,4085,4608,3753,1800,1953,199,98,101
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,17356,14162,6716,7446,2883,1657,1226,311,179,132
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6215,3813,2217,1596,1897,1132,765,505,185,320
83,Monroe County (North & West) PUMA,48410,18008,7707,10301,28843,15046,13797,1559,995,564
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1536,294,170,124,870,369,501,372,205,167
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",49924,9045,3844,5201,36675,18714,17961,4204,2409,1795
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,7964,2838,1392,1446,4055,2227,1828,1071,586,485
87,NYC-Manhattan Community District 8--Upper East Side PUMA,84163,74688,31627,43061,9159,4191,4968,316,89,227
88,"Chenango, Delaware & Broome (East) Counties PUMA",52419,10011,4128,5883,36657,18807,17850,5751,3343,2408
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",30466,10723,5085,5638,17890,9200,8690,1853,937,916
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,17691,7175,3355,3820,9730,4930,4800,786,543,243
91,Monroe County (Central)--Rochester City (West) PUMA,19331,5934,3107,2827,11570,5669,5901,1827,1061,766
92,Erie County (Northwest) PUMA,52338,19163,8139,11024,31684,16138,15546,1491,803,688
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2724,924,683,241,1547,842,705,253,145,108
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",50810,12672,5517,7155,34230,17502,16728,3908,2211,1697
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,13041,3479,1469,2010,8451,4522,3929,1111,655,456
96,Rensselaer County--Troy City PUMA,72710,23406,10685,12721,45184,22583,22601,4120,2500,1620
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",10003,3358,1641,1717,6168,3287,2881,477,226,251
98,Erie County (West Central)--Buffalo City (West) PUMA,35683,17964,9179,8785,15509,7966,7543,2210,1099,1111
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,46545,14652,6934,7718,29976,15049,14927,1917,1267,650
100,Cayuga & Onondaga (South) Counties PUMA,55525,15978,7206,8772,34864,18080,16784,4683,2981,1702
101,Sullivan & Ulster (West) Counties PUMA,42468,11774,5220,6554,27168,14269,12899,3526,2090,1436
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,46481,13591,5674,7917,30279,15695,14584,2611,1500,1111
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1209,658,315,343,491,251,240,60,58,2
104,Rockland County (North)--New City & Congers PUMA,29154,14767,6641,8126,13252,6785,6467,1135,587,548
105,Saratoga County (Outer) PUMA,58621,19108,8835,10273,36351,18405,17946,3162,1948,1214
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8253,3643,1645,1998,4350,2493,1857,260,182,78
107,Putnam County PUMA,42354,18576,8221,10355,22786,12141,10645,992,621,371
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,20427,6943,3082,3861,11964,5930,6034,1520,875,645
109,Orange County (Southeast) PUMA,43032,16196,7513,8683,24027,12341,11686,2809,1547,1262
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,72596,29969,14031,15938,40456,19797,20659,2171,1282,889
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21580,6945,3455,3490,11911,5537,6374,2724,1652,1072
112,Monroe County (East) PUMA,57423,27766,13111,14655,28113,13196,14917,1544,882,662
113,NYC-Manhattan Community District 10--Central Harlem PUMA,10524,8644,4696,3948,1629,1112,517,251,169,82
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,35938,22329,10981,11348,13109,6775,6334,500,222,278
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,47671,21814,10144,11670,25116,13091,12025,741,402,339
116,Wayne & Seneca Counties PUMA,60584,12948,5595,7353,42890,21748,21142,4746,2704,2042
117,Schenectady County--Schenectady City PUMA,61043,21848,9890,11958,35844,17836,18008,3351,2103,1248
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9288,6309,3157,3152,2671,1459,1212,308,215,93
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",53747,47203,26503,20700,6334,4453,1881,210,76,134
120,Westchester County (Northeast) PUMA,50853,35588,16564,19024,14585,6960,7625,680,342,338
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,34216,18417,8159,10258,15293,8098,7195,506,317,189
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,17975,11723,6229,5494,5691,3293,2398,561,303,258
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63239,21160,9834,11326,39962,19304,20658,2117,1306,811
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,44374,14254,6613,7641,28483,15211,13272,1637,940,697
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10459,4424,2168,2256,5268,2936,2332,767,435,332
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,39122,22163,10899,11264,16331,7967,8364,628,297,331
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1358,608,305,303,633,353,280,117,90,27
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,44581,22458,10097,12361,20866,10561,10305,1257,805,452
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,38221,26705,13799,12906,10821,6360,4461,695,327,368
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,32000,16910,8037,8873,14181,7290,6891,909,543,366
131,Westchester County (Southeast) PUMA,32419,23351,11349,12002,8553,4302,4251,515,380,135
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",16325,5670,2390,3280,9622,5044,4578,1033,449,584
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,50060,14154,5988,8166,33031,16795,16236,2875,1693,1182
134,Onondaga County (Central)--Syracuse City PUMA,36496,12886,6132,6754,19917,9880,10037,3693,2218,1475
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,24901,7908,3715,4193,15798,8364,7434,1195,622,573
136,Suffolk County (Southwest)--Islip Town (South) PUMA,39994,17202,7506,9696,21866,11684,10182,926,476,450
137,Niagara County (North & East) PUMA,51391,13890,6221,7669,34989,17923,17066,2512,1312,1200
138,NYC-Manhattan Community District 11--East Harlem PUMA,9512,7468,3937,3531,1688,1020,668,356,163,193
139,Broome (Outer West) & Tioga Counties PUMA,52533,14297,6876,7421,34684,17425,17259,3552,2056,1496
140,Albany County (East Central)--Albany City PUMA,27776,13619,6691,6928,13037,6948,6089,1120,793,327
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,23761,10810,5046,5764,12424,6452,5972,527,377,150
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,25585,14524,6759,7765,10558,5457,5101,503,314,189
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,42973,17455,8326,9129,24265,12070,12195,1253,541,712
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,46083,25322,11189,14133,20143,11169,8974,618,312,306
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",699,178,87,91,395,206,189,126,85,41
146,Capital Region,471019,167203,76578,90625,278387,140673,137714,25429,15692,9737
147,Central NY,341679,108768,49999,58769,209535,105468,104067,23376,14159,9217
148,Finger Lakes,496367,175801,81030,94771,292719,148167,144552,27847,16492,11355
149,Long Island,920915,438056,203611,234445,458286,236137,222149,24573,14193,10380
150,Mid-Hudson,697253,328277,152095,176182,338792,174367,164425,30184,17467,12717
151,Mohawk Valley,216984,51963,22599,29364,147174,75346,71828,17847,10367,7480
152,New York City,1165899,758969,366486,392483,366985,195684,171301,39945,22767,17178
153,North Country,190783,43053,18995,24058,131298,68152,63146,16432,9878,6554
154,Southern Tier,284298,80346,36097,44249,182796,92650,90146,21156,12177,8979
155,Western NY,583944,188846,86273,102573,364573,186123,178450,30525,17178,13347
