,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,227445,138915,88530,187864,115670,72194,39581,23245,16336,53293,23490,29803,49324,20800,28524,3969,2690,1279,127866,81555,46311,104708,69350,35358,23158,12205,10953,46286,33870,12416,33832,25520,8312,12454,8350,4104
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7281,4725,2556,4723,2984,1739,2558,1741,817,1731,893,838,1599,893,706,132,0,132,4396,2980,1416,2598,1627,971,1798,1353,445,1154,852,302,526,464,62,628,388,240
2,Ulster County (East) PUMA,1039,470,569,756,299,457,283,171,112,396,196,200,284,196,88,112,0,112,643,274,369,472,103,369,171,171,0,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,121,0,121,121,0,121,0,0,0,90,0,90,90,0,90,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,223,133,90,223,133,90,0,0,0,223,133,90,223,133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5037,2110,2927,3059,1120,1939,1978,990,988,934,57,877,934,57,877,0,0,0,3078,1389,1689,1538,651,887,1540,738,802,1025,664,361,587,412,175,438,252,186
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",275,91,184,190,91,99,85,0,85,102,60,42,102,60,42,0,0,0,85,0,85,0,0,0,85,0,85,88,31,57,88,31,57,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,857,434,423,272,193,79,585,241,344,79,0,79,79,0,79,0,0,0,241,241,0,0,0,0,241,241,0,537,193,344,193,193,0,344,0,344
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8612,3981,4631,6138,3246,2892,2474,735,1739,1719,290,1429,1572,290,1282,147,0,147,4412,2472,1940,3127,2010,1117,1285,462,823,2481,1219,1262,1439,946,493,1042,273,769
11,Livingston & Wyoming Counties PUMA,456,175,281,102,0,102,354,175,179,219,175,44,44,0,44,175,175,0,58,0,58,58,0,58,0,0,0,179,0,179,0,0,0,179,0,179
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1587,538,1049,840,478,362,747,60,687,250,107,143,250,107,143,0,0,0,971,241,730,460,241,219,511,0,511,366,190,176,130,130,0,236,60,176
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3349,2130,1219,2692,2130,562,657,0,657,0,0,0,0,0,0,0,0,0,2763,2130,633,2610,2130,480,153,0,153,586,0,586,82,0,82,504,0,504
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,288,139,149,149,0,149,139,139,0,149,0,149,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,139,139,0,0,0,0,139,139,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,628,123,505,385,123,262,243,0,243,0,0,0,0,0,0,0,0,0,305,123,182,305,123,182,0,0,0,323,0,323,80,0,80,243,0,243
16,Monroe County (Central)--Rochester City (East) PUMA,97,0,97,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0
17,Westchester County (Northwest) PUMA,4825,2479,2346,3863,2277,1586,962,202,760,987,637,350,987,637,350,0,0,0,3026,1421,1605,2222,1219,1003,804,202,602,812,421,391,654,421,233,158,0,158
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2614,1205,1409,2277,1120,1157,337,85,252,323,0,323,323,0,323,0,0,0,1910,945,965,1691,945,746,219,0,219,381,260,121,263,175,88,118,85,33
19,Onondaga County (Central)--Syracuse City PUMA,295,64,231,295,64,231,0,0,0,100,0,100,100,0,100,0,0,0,195,64,131,195,64,131,0,0,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,2716,1472,1244,2245,1205,1040,471,267,204,510,274,236,510,274,236,0,0,0,907,703,204,436,436,0,471,267,204,1299,495,804,1299,495,804,0,0,0
21,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,189,189,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,189,189,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monroe County (Central)--Rochester City (West) PUMA,543,373,170,392,295,97,151,78,73,173,173,0,173,173,0,0,0,0,248,78,170,97,0,97,151,78,73,122,122,0,122,122,0,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,702,298,404,688,284,404,14,14,0,77,0,77,77,0,77,0,0,0,450,284,166,450,284,166,0,0,0,175,14,161,161,0,161,14,14,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,201,53,148,53,53,0,148,0,148,53,53,0,53,53,0,0,0,0,148,0,148,0,0,0,148,0,148,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10873,5323,5550,7566,4278,3288,3307,1045,2262,1899,958,941,1522,830,692,377,128,249,5249,2558,2691,4004,2327,1677,1245,231,1014,3725,1807,1918,2040,1121,919,1685,686,999
27,St. Lawrence County PUMA,77,0,77,62,0,62,15,0,15,0,0,0,0,0,0,0,0,0,77,0,77,62,0,62,15,0,15,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,236,147,89,87,87,0,149,60,89,87,87,0,87,87,0,0,0,0,149,60,89,0,0,0,149,60,89,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,337,76,261,337,76,261,0,0,0,84,0,84,84,0,84,0,0,0,177,0,177,177,0,177,0,0,0,76,76,0,76,76,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3329,1817,1512,2879,1546,1333,450,271,179,873,129,744,873,129,744,0,0,0,2404,1688,716,2006,1417,589,398,271,127,52,0,52,0,0,0,52,0,52
31,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,743,172,571,682,172,510,61,0,61,234,0,234,234,0,234,0,0,0,509,172,337,448,172,276,61,0,61,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2503,1070,1433,2132,1070,1062,371,0,371,652,151,501,652,151,501,0,0,0,764,400,364,602,400,202,162,0,162,1087,519,568,878,519,359,209,0,209
34,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,431,128,303,431,128,303,0,0,0,189,0,189,189,0,189,0,0,0,242,128,114,242,128,114,0,0,0,0,0,0,0,0,0,0,0,0
36,Suffolk County (East) PUMA,2302,1405,897,1159,880,279,1143,525,618,389,197,192,389,197,192,0,0,0,1368,750,618,501,501,0,867,249,618,545,458,87,269,182,87,276,276,0
37,Warren & Washington Counties PUMA,247,129,118,118,0,118,129,129,0,0,0,0,0,0,0,0,0,0,247,129,118,118,0,118,129,129,0,0,0,0,0,0,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,2457,803,1654,2366,803,1563,91,0,91,1649,301,1348,1558,301,1257,91,0,91,808,502,306,808,502,306,0,0,0,0,0,0,0,0,0,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1324,963,361,1164,803,361,160,160,0,109,0,109,109,0,109,0,0,0,1055,803,252,1055,803,252,0,0,0,160,160,0,0,0,0,160,160,0
40,Westchester County (Central)--White Plains City PUMA,5929,3449,2480,5483,3231,2252,446,218,228,1265,710,555,1265,710,555,0,0,0,3710,2336,1374,3264,2118,1146,446,218,228,954,403,551,954,403,551,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",8379,3387,4992,4264,1963,2301,4115,1424,2691,1150,170,980,603,0,603,547,170,377,5094,2220,2874,3093,1674,1419,2001,546,1455,2135,997,1138,568,289,279,1567,708,859
42,Erie County (North Central) PUMA,500,215,285,215,215,0,285,0,285,215,215,0,215,215,0,0,0,0,70,0,70,0,0,0,70,0,70,215,0,215,0,0,0,215,0,215
43,Chautauqua County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dutchess County (Southwest) PUMA,2054,1065,989,1276,921,355,778,144,634,500,347,153,500,347,153,0,0,0,1302,672,630,662,528,134,640,144,496,252,46,206,114,46,68,138,0,138
45,Westchester County (Southeast) PUMA,5585,4074,1511,3674,2431,1243,1911,1643,268,1564,1328,236,1057,821,236,507,507,0,2584,1663,921,1364,711,653,1220,952,268,1437,1083,354,1253,899,354,184,184,0
46,Rockland County (North)--New City & Congers PUMA,2257,1092,1165,2001,1092,909,256,0,256,591,250,341,591,250,341,0,0,0,1111,421,690,855,421,434,256,0,256,555,421,134,555,421,134,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,649,121,528,314,121,193,335,0,335,121,121,0,121,121,0,0,0,0,66,0,66,66,0,66,0,0,0,462,0,462,127,0,127,335,0,335
48,Suffolk County (Southwest)--Islip Town (South) PUMA,1134,495,639,572,268,304,562,227,335,362,58,304,362,58,304,0,0,0,545,210,335,210,210,0,335,0,335,227,227,0,0,0,0,227,227,0
49,Erie County (West Central)--Buffalo City (East) PUMA,280,103,177,112,0,112,168,103,65,177,0,177,112,0,112,65,0,65,103,103,0,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Tompkins County PUMA,50,50,0,50,50,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,742,650,92,589,589,0,153,61,92,111,111,0,111,111,0,0,0,0,428,336,92,275,275,0,153,61,92,203,203,0,203,203,0,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,1233,942,291,1233,942,291,0,0,0,627,336,291,627,336,291,0,0,0,606,606,0,606,606,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",130,0,130,130,0,130,0,0,0,130,0,130,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",18629,9358,9271,14990,7984,7006,3639,1374,2265,4988,1454,3534,4759,1225,3534,229,229,0,11975,6474,5501,9228,5756,3472,2747,718,2029,1666,1430,236,1003,1003,0,663,427,236
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1209,407,802,1157,355,802,52,52,0,604,182,422,604,182,422,0,0,0,390,52,338,338,0,338,52,52,0,215,173,42,215,173,42,0,0,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3713,1270,2443,969,399,570,2744,871,1873,449,164,285,207,105,102,242,59,183,2575,866,1709,603,294,309,1972,572,1400,689,240,449,159,0,159,530,240,290
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,6173,2891,3282,5110,2681,2429,1063,210,853,716,216,500,602,102,500,114,114,0,3198,1550,1648,2952,1550,1402,246,0,246,2259,1125,1134,1556,1029,527,703,96,607
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2061,1232,829,1674,1086,588,387,146,241,1006,418,588,1006,418,588,0,0,0,814,814,0,668,668,0,146,146,0,241,0,241,0,0,0,241,0,241
62,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Genesee & Orleans Counties PUMA,299,199,100,299,199,100,0,0,0,0,0,0,0,0,0,0,0,0,299,199,100,299,199,100,0,0,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,234,126,108,43,13,30,191,113,78,0,0,0,0,0,0,0,0,0,143,113,30,30,0,30,113,113,0,91,13,78,13,13,0,78,0,78
66,Sullivan & Ulster (West) Counties PUMA,505,166,339,505,166,339,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73,73,0,73,0,0,0,432,166,266,432,166,266,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9874,5924,3950,7452,4820,2632,2422,1104,1318,2086,1274,812,1827,1138,689,259,136,123,6679,4303,2376,4675,3335,1340,2004,968,1036,1109,347,762,950,347,603,159,0,159
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,206,74,132,197,65,132,9,9,0,65,65,0,65,65,0,0,0,0,76,0,76,76,0,76,0,0,0,65,9,56,56,0,56,9,9,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3886,1544,2342,2673,1328,1345,1213,216,997,953,293,660,803,143,660,150,150,0,2477,1058,1419,1675,1058,617,802,0,802,456,193,263,195,127,68,261,66,195
70,Jefferson & Lewis Counties PUMA,55,55,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3288,2256,1032,3223,2256,967,65,0,65,1343,753,590,1343,753,590,0,0,0,1101,659,442,1036,659,377,65,0,65,844,844,0,844,844,0,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,6888,3811,3077,5197,2911,2286,1691,900,791,572,185,387,572,185,387,0,0,0,3754,1744,2010,2714,1132,1582,1040,612,428,2562,1882,680,1911,1594,317,651,288,363
73,Orange County (Northeast)--Greater Newburgh City PUMA,2085,1517,568,1726,1243,483,359,274,85,760,440,320,486,166,320,274,274,0,739,491,248,654,491,163,85,0,85,586,586,0,586,586,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",5176,2496,2680,4028,2063,1965,1148,433,715,464,0,464,330,0,330,134,0,134,3635,1855,1780,3130,1759,1371,505,96,409,1077,641,436,568,304,264,509,337,172
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4693,2693,2000,3781,2378,1403,912,315,597,170,0,170,126,0,126,44,0,44,3039,1913,1126,2688,1730,958,351,183,168,1484,780,704,967,648,319,517,132,385
76,Erie County (Central) PUMA,27,27,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,27,27,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3055,1228,1827,1951,852,1099,1104,376,728,653,75,578,590,75,515,63,0,63,1641,983,658,1027,715,312,614,268,346,761,170,591,334,62,272,427,108,319
