,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,5773838,2959488,2814350,5534578,2821450,2713128,239260,138038,101222,2724775,1260256,1464519,2654966,1225193,1429773,69809,35063,34746,2794648,1541160,1253488,2655506,1455878,1199628,139142,85282,53860,254415,158072,96343,224106,140379,83727,30309,17693,12616
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",32714,16438,16276,31326,15831,15495,1388,607,781,20909,9594,11315,19924,9039,10885,985,555,430,11319,6585,4734,10973,6533,4440,346,52,294,486,259,227,429,259,170,57,0,57
2,Ulster County (East) PUMA,56133,29233,26900,53970,28190,25780,2163,1043,1120,18848,7736,11112,18275,7736,10539,573,0,573,34915,20086,14829,33394,19061,14333,1521,1025,496,2370,1411,959,2301,1393,908,69,18,51
3,Albany County (East Central)--Albany City PUMA,33120,16189,16931,29870,15303,14567,3250,886,2364,15908,7886,8022,15436,7627,7809,472,259,213,15636,7778,7858,13751,7151,6600,1885,627,1258,1576,525,1051,683,525,158,893,0,893
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,37830,19682,18148,35406,17940,17466,2424,1742,682,12136,6367,5769,11776,6007,5769,360,360,0,23583,11460,12123,22028,10587,11441,1555,873,682,2111,1855,256,1602,1346,256,509,509,0
5,Ontario & Yates Counties PUMA,53407,26356,27051,51790,25149,26641,1617,1207,410,21787,9018,12769,21218,8449,12769,569,569,0,29322,15597,13725,28535,15196,13339,787,401,386,2298,1741,557,2037,1504,533,261,237,24
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,34679,18975,15704,33002,17845,15157,1677,1130,547,16166,7341,8825,15525,6972,8553,641,369,272,17990,11111,6879,17054,10450,6604,936,661,275,523,523,0,423,423,0,100,100,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,52258,26089,26169,50143,24784,25359,2115,1305,810,27387,12525,14862,26629,12246,14383,758,279,479,23376,12637,10739,22201,11700,10501,1175,937,238,1495,927,568,1313,838,475,182,89,93
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",60180,32349,27831,58571,31321,27250,1609,1028,581,18708,7255,11453,18230,6971,11259,478,284,194,38950,23374,15576,37946,22734,15212,1004,640,364,2522,1720,802,2395,1616,779,127,104,23
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,50126,26460,23666,48388,24915,23473,1738,1545,193,17187,8269,8918,16895,8104,8791,292,165,127,31252,17110,14142,29828,15752,14076,1424,1358,66,1687,1081,606,1665,1059,606,22,22,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",30211,12639,17572,25963,9923,16040,4248,2716,1532,5949,2049,3900,5741,1984,3757,208,65,143,19845,8615,11230,17524,7097,10427,2321,1518,803,4417,1975,2442,2698,842,1856,1719,1133,586
11,Livingston & Wyoming Counties PUMA,37481,19922,17559,36637,19343,17294,844,579,265,9181,3876,5305,9106,3876,5230,75,0,75,26760,15212,11548,26178,14791,11387,582,421,161,1540,834,706,1353,676,677,187,158,29
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,47183,21512,25671,44991,20491,24500,2192,1021,1171,35481,15404,20077,35017,15404,19613,464,0,464,10074,5513,4561,8549,4589,3960,1525,924,601,1628,595,1033,1425,498,927,203,97,106
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,31938,16336,15602,30317,15337,14980,1621,999,622,12250,4484,7766,11828,4278,7550,422,206,216,18352,11089,7263,17204,10296,6908,1148,793,355,1336,763,573,1285,763,522,51,0,51
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,37266,18599,18667,35033,17177,17856,2233,1422,811,13079,6720,6359,12813,6599,6214,266,121,145,22837,11357,11480,20948,10056,10892,1889,1301,588,1350,522,828,1272,522,750,78,0,78
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,28261,15481,12780,27235,15011,12224,1026,470,556,22367,12280,10087,21620,11964,9656,747,316,431,5519,2998,2521,5240,2844,2396,279,154,125,375,203,172,375,203,172,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,40239,20747,19492,36990,18324,18666,3249,2423,826,16042,8015,8027,15701,7799,7902,341,216,125,20053,10686,9367,17708,8711,8997,2345,1975,370,4144,2046,2098,3581,1814,1767,563,232,331
17,Westchester County (Northwest) PUMA,43825,22104,21721,42261,21859,20402,1564,245,1319,27638,12421,15217,26761,12334,14427,877,87,790,15031,9005,6026,14388,8847,5541,643,158,485,1156,678,478,1112,678,434,44,0,44
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,26141,10419,15722,24470,8961,15509,1671,1458,213,5841,1330,4511,5753,1242,4511,88,88,0,17381,7622,9759,16297,6751,9546,1084,871,213,2919,1467,1452,2420,968,1452,499,499,0
19,Onondaga County (Central)--Syracuse City PUMA,38700,20774,17926,35251,18739,16512,3449,2035,1414,11834,5294,6540,11408,5294,6114,426,0,426,23502,13572,9930,21165,11707,9458,2337,1865,472,3364,1908,1456,2678,1738,940,686,170,516
20,Westchester County (Northeast) PUMA,43566,23473,20093,42497,22863,19634,1069,610,459,32584,16631,15953,31972,16214,15758,612,417,195,10753,6613,4140,10296,6420,3876,457,193,264,229,229,0,229,229,0,0,0,0
21,Madison & Cortland Counties PUMA,43048,22816,20232,41446,21816,19630,1602,1000,602,12441,5139,7302,12186,5014,7172,255,125,130,27900,15374,12526,26890,14789,12101,1010,585,425,2707,2303,404,2370,2013,357,337,290,47
22,Erie County (West Central)--Buffalo City (West) PUMA,39963,19484,20479,38325,18588,19737,1638,896,742,21457,9030,12427,20947,8956,11991,510,74,436,16576,9307,7269,15592,8629,6963,984,678,306,1930,1147,783,1786,1003,783,144,144,0
23,Monroe County (Central)--Rochester City (West) PUMA,27131,13076,14055,24808,11153,13655,2323,1923,400,6907,3124,3783,6714,2931,3783,193,193,0,17487,8055,9432,15836,6585,9251,1651,1470,181,2737,1897,840,2258,1637,621,479,260,219
24,Suffolk County (Central)--Islip Town (East) PUMA,39838,20962,18876,39224,20607,18617,614,355,259,18656,8043,10613,18310,7956,10354,346,87,259,20240,12579,7661,20106,12445,7661,134,134,0,942,340,602,808,206,602,134,134,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,35222,18449,16773,34756,18195,16561,466,254,212,23423,11696,11727,22957,11442,11515,466,254,212,11288,6427,4861,11288,6427,4861,0,0,0,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",16190,8516,7674,14356,7611,6745,1834,905,929,3793,1706,2087,3268,1565,1703,525,141,384,10212,5301,4911,9161,4582,4579,1051,719,332,2185,1509,676,1927,1464,463,258,45,213
27,St. Lawrence County PUMA,36784,19256,17528,35432,18526,16906,1352,730,622,10067,4298,5769,9875,4106,5769,192,192,0,25132,14123,11009,24233,13823,10410,899,300,599,1585,835,750,1324,597,727,261,238,23
28,Columbia & Greene Counties PUMA,39657,20070,19587,37841,18764,19077,1816,1306,510,13576,5809,7767,13400,5781,7619,176,28,148,24682,13566,11116,23312,12558,10754,1370,1008,362,1399,695,704,1129,425,704,270,270,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,59044,29463,29581,57028,28108,28920,2016,1355,661,49225,24130,25095,48019,23466,24553,1206,664,542,8420,4676,3744,7880,4255,3625,540,421,119,1399,657,742,1129,387,742,270,270,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27061,12557,14504,25395,11975,13420,1666,582,1084,15383,6676,8707,14186,6351,7835,1197,325,872,10787,5328,5459,10476,5135,5341,311,193,118,891,553,338,733,489,244,158,64,94
31,Monroe County (North & West) PUMA,45105,22964,22141,43179,22275,20904,1926,689,1237,19183,8685,10498,18580,8501,10079,603,184,419,24564,13823,10741,23910,13423,10487,654,400,254,1358,456,902,689,351,338,669,105,564
32,Schenectady County--Schenectady City PUMA,56412,28149,28263,54066,26679,27387,2346,1470,876,22349,9091,13258,22217,9091,13126,132,0,132,30663,17396,13267,28854,16331,12523,1809,1065,744,3400,1662,1738,2995,1257,1738,405,405,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21742,12442,9300,20350,11865,8485,1392,577,815,8112,4086,4026,7481,3946,3535,631,140,491,11830,6893,4937,11099,6456,4643,731,437,294,1800,1463,337,1770,1463,307,30,0,30
34,Niagara County (North & East) PUMA,42590,21924,20666,40431,20323,20108,2159,1601,558,13327,5838,7489,12853,5616,7237,474,222,252,27787,15434,12353,26102,14055,12047,1685,1379,306,1476,652,824,1476,652,824,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,50838,24825,26013,49400,24186,25214,1438,639,799,17265,6838,10427,16908,6726,10182,357,112,245,32746,17696,15050,31708,17212,14496,1038,484,554,827,291,536,784,248,536,43,43,0
36,Suffolk County (East) PUMA,39351,21113,18238,39005,20889,18116,346,224,122,21313,10687,10626,21251,10625,10626,62,62,0,17252,9854,7398,17232,9834,7398,20,20,0,786,572,214,522,430,92,264,142,122
37,Warren & Washington Counties PUMA,49022,25230,23792,47645,24281,23364,1377,949,428,15249,6735,8514,14992,6586,8406,257,149,108,31467,16758,14709,30506,16086,14420,961,672,289,2306,1737,569,2147,1609,538,159,128,31
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,25365,13171,12194,23991,12344,11647,1374,827,547,17791,9256,8535,16417,8429,7988,1374,827,547,7089,3607,3482,7089,3607,3482,0,0,0,485,308,177,485,308,177,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",30524,15526,14998,28956,14454,14502,1568,1072,496,17650,8553,9097,17166,8459,8707,484,94,390,11273,5845,5428,10505,5183,5322,768,662,106,1601,1128,473,1285,812,473,316,316,0
40,Westchester County (Central)--White Plains City PUMA,47089,24548,22541,45545,23504,22041,1544,1044,500,34141,17541,16600,33073,16851,16222,1068,690,378,12948,7007,5941,12472,6653,5819,476,354,122,0,0,0,0,0,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",28899,13481,15418,24359,11303,13056,4540,2178,2362,6930,3285,3645,5824,2484,3340,1106,801,305,19364,8518,10846,16491,7455,9036,2873,1063,1810,2605,1678,927,2044,1364,680,561,314,247
42,Erie County (North Central) PUMA,41407,19996,21411,40848,19437,21411,559,559,0,27120,12454,14666,26933,12267,14666,187,187,0,13928,7299,6629,13556,6927,6629,372,372,0,359,243,116,359,243,116,0,0,0
43,Chautauqua County PUMA,47222,24463,22759,44829,22935,21894,2393,1528,865,12495,5360,7135,12405,5270,7135,90,90,0,31340,17246,14094,29495,16168,13327,1845,1078,767,3387,1857,1530,2929,1497,1432,458,360,98
44,Dutchess County (Southwest) PUMA,55827,29067,26760,53425,28054,25371,2402,1013,1389,21721,9434,12287,20997,9034,11963,724,400,324,31974,18715,13259,30499,18214,12285,1475,501,974,2132,918,1214,1929,806,1123,203,112,91
45,Westchester County (Southeast) PUMA,29902,16964,12938,28924,16590,12334,978,374,604,22560,12443,10117,21919,12141,9778,641,302,339,6768,4102,2666,6431,4030,2401,337,72,265,574,419,155,574,419,155,0,0,0
46,Rockland County (North)--New City & Congers PUMA,31271,17285,13986,29783,16446,13337,1488,839,649,15649,6800,8849,15388,6730,8658,261,70,191,14279,9232,5047,13052,8463,4589,1227,769,458,1343,1253,90,1343,1253,90,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,30934,15740,15194,29829,15211,14618,1105,529,576,12501,7172,5329,12094,6981,5113,407,191,216,17452,7884,9568,16879,7671,9208,573,213,360,981,684,297,856,559,297,125,125,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,37629,19587,18042,36771,19202,17569,858,385,473,17353,7713,9640,17093,7499,9594,260,214,46,19762,11701,8061,19164,11530,7634,598,171,427,514,173,341,514,173,341,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,45097,21563,23534,42603,20657,21946,2494,906,1588,9729,4324,5405,9194,3970,5224,535,354,181,31272,14796,16476,29568,14278,15290,1704,518,1186,4096,2443,1653,3841,2409,1432,255,34,221
50,Wayne & Seneca Counties PUMA,48447,26285,22162,46857,25623,21234,1590,662,928,11921,5286,6635,11889,5286,6603,32,0,32,33477,19049,14428,32208,18387,13821,1269,662,607,3049,1950,1099,2760,1950,810,289,0,289
51,Monroe County (South) PUMA,59369,30256,29113,58414,29665,28749,955,591,364,38468,18157,20311,37706,17636,20070,762,521,241,19766,11485,8281,19573,11415,8158,193,70,123,1135,614,521,1135,614,521,0,0,0
52,Tompkins County PUMA,31768,15277,16491,31024,14745,16279,744,532,212,18960,7896,11064,18695,7800,10895,265,96,169,11547,6469,5078,11165,6130,5035,382,339,43,1261,912,349,1164,815,349,97,97,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,46490,25135,21355,44631,24372,20259,1859,763,1096,15503,6523,8980,15036,6284,8752,467,239,228,28591,16514,12077,27355,16016,11339,1236,498,738,2396,2098,298,2240,2072,168,156,26,130
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",40273,21496,18777,39390,20963,18427,883,533,350,12589,5830,6759,12356,5709,6647,233,121,112,25176,13757,11419,24763,13582,11181,413,175,238,2508,1909,599,2271,1672,599,237,237,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,74490,33214,41276,72416,32397,40019,2074,817,1257,69752,30808,38944,67678,29991,37687,2074,817,1257,4478,2257,2221,4478,2257,2221,0,0,0,260,149,111,260,149,111,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",66162,34434,31728,63792,33361,30431,2370,1073,1297,60451,30407,30044,58283,29334,28949,2168,1073,1095,5205,3753,1452,5003,3753,1250,202,0,202,506,274,232,506,274,232,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",47772,25629,22143,43820,23150,20670,3952,2479,1473,27180,11459,15721,25330,10756,14574,1850,703,1147,17821,12099,5722,15842,10446,5396,1979,1653,326,2771,2071,700,2648,1948,700,123,123,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,38734,17263,21471,37172,16424,20748,1562,839,723,17470,6091,11379,17396,6017,11379,74,74,0,19537,10254,9283,18665,9680,8985,872,574,298,1727,918,809,1111,727,384,616,191,425
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",25153,10905,14248,21287,9306,11981,3866,1599,2267,9060,3660,5400,8281,3400,4881,779,260,519,13288,6324,6964,11438,5139,6299,1850,1185,665,2805,921,1884,1568,767,801,1237,154,1083
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,26874,15818,11056,24229,13844,10385,2645,1974,671,7919,3937,3982,7636,3654,3982,283,283,0,16397,9827,6570,14035,8136,5899,2362,1691,671,2558,2054,504,2558,2054,504,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",27610,12064,15546,25922,11645,14277,1688,419,1269,12976,5432,7544,12976,5432,7544,0,0,0,12907,5831,7076,11548,5741,5807,1359,90,1269,1727,801,926,1398,472,926,329,329,0
62,Saratoga County (South & Central) PUMA,45113,23011,22102,44347,22696,21651,766,315,451,24136,11887,12249,23808,11827,11981,328,60,268,19689,10496,9193,19251,10241,9010,438,255,183,1288,628,660,1288,628,660,0,0,0
63,Cattaraugus & Allegany Counties PUMA,43983,23072,20911,42138,22145,19993,1845,927,918,9504,4241,5263,9336,4206,5130,168,35,133,31837,16837,15000,30283,16043,14240,1554,794,760,2642,1994,648,2519,1896,623,123,98,25
64,Genesee & Orleans Counties PUMA,40385,21756,18629,38651,20726,17925,1734,1030,704,7856,3069,4787,7697,2910,4787,159,159,0,30429,16844,13585,29279,16398,12881,1150,446,704,2100,1843,257,1675,1418,257,425,425,0
65,Cayuga & Onondaga (South) Counties PUMA,41123,20260,20863,40454,19827,20627,669,433,236,13854,6169,7685,13828,6143,7685,26,26,0,25685,13323,12362,25141,13015,12126,544,308,236,1584,768,816,1485,669,816,99,99,0
66,Sullivan & Ulster (West) Counties PUMA,35463,17294,18169,34563,16642,17921,900,652,248,11792,5913,5879,11524,5645,5879,268,268,0,21192,9954,11238,20679,9689,10990,513,265,248,2479,1427,1052,2360,1308,1052,119,119,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19586,8962,10624,17257,8405,8852,2329,557,1772,3502,1152,2350,3431,1152,2279,71,0,71,13295,6871,6424,12083,6452,5631,1212,419,793,2789,939,1850,1743,801,942,1046,138,908
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,38436,19777,18659,36624,18618,18006,1812,1159,653,15671,7531,8140,15299,7342,7957,372,189,183,22060,11853,10207,20742,10948,9794,1318,905,413,705,393,312,583,328,255,122,65,57
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,54677,27388,27289,52983,26150,26833,1694,1238,456,37891,17182,20709,37113,16662,20451,778,520,258,15993,9876,6117,15192,9158,6034,801,718,83,793,330,463,678,330,348,115,0,115
70,Jefferson & Lewis Counties PUMA,50218,28614,21604,48573,28151,20422,1645,463,1182,12937,6465,6472,12664,6417,6247,273,48,225,35152,20826,14326,33803,20411,13392,1349,415,934,2129,1323,806,2106,1323,783,23,0,23
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,32740,17665,15075,31683,16686,14997,1057,979,78,17747,8327,9420,17597,8255,9342,150,72,78,13653,8618,5035,12746,7711,5035,907,907,0,1340,720,620,1340,720,620,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,28062,11167,16895,27144,10609,16535,918,558,360,9692,3200,6492,9554,3062,6492,138,138,0,17282,7104,10178,16683,6865,9818,599,239,360,1088,863,225,907,682,225,181,181,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,39654,20218,19436,37882,19434,18448,1772,784,988,13808,6348,7460,13750,6348,7402,58,0,58,23883,12773,11110,22212,12032,10180,1671,741,930,1963,1097,866,1920,1054,866,43,43,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",33214,16970,16244,31745,16081,15664,1469,889,580,10618,3783,6835,10339,3689,6650,279,94,185,19960,11558,8402,18940,10933,8007,1020,625,395,2636,1629,1007,2466,1459,1007,170,170,0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",45516,20310,25206,43355,19203,24152,2161,1107,1054,12328,3041,9287,12328,3041,9287,0,0,0,29732,15509,14223,27901,14446,13455,1831,1063,768,3456,1760,1696,3126,1716,1410,330,44,286
76,Erie County (Central) PUMA,63213,32432,30781,61664,31706,29958,1549,726,823,22094,10798,11296,21568,10490,11078,526,308,218,38167,19712,18455,37347,19353,17994,820,359,461,2952,1922,1030,2749,1863,886,203,59,144
